ficha,fechaYHoraInicio
210030,2024/08/10 09:00
050030,2024/08/10 09:00
210031,2024/08/10 09:00
060056,2024/08/10 09:00
060057,2024/08/10 09:00
210032,2024/08/10 09:00
110042,2024/08/10 09:00
050031,2024/08/10 09:00
060058,2024/08/10 09:00
170012,2024/08/10 09:00
050032,2024/08/10 09:00
070033,2024/08/10 09:00
060059,2024/08/10 09:00
060060,2024/08/10 09:00
230023,2024/08/10 09:00
050033,2024/08/10 09:00
160027,2024/08/10 09:00
110043,2024/08/10 09:00
210033,2024/08/10 09:00
160028,2024/08/10 09:00
070034,2024/08/10 09:00
060061,2024/08/10 09:00
210034,2024/08/10 09:00
210035,2024/08/10 09:00
060062,2024/08/10 09:00
070035,2024/08/10 09:00
160029,2024/08/10 09:00
060063,2024/08/10 09:00
050034,2024/08/10 09:00
230024,2024/08/10 09:00
070036,2024/08/10 09:00
050035,2024/08/10 09:00
060064,2024/08/10 09:00
210036,2024/08/10 09:00
050036,2024/08/10 09:00
050037,2024/08/10 09:00
110044,2024/08/10 09:00
060065,2024/08/10 09:00
160030,2024/08/10 09:00
060066,2024/08/10 09:00
