ficha,fechaYHoraInicio
243,2024/08/10 09:00
246,2024/08/10 09:00
249,2024/08/10 09:00
253,2024/08/10 09:00
256,2024/08/10 09:00
262,2024/08/10 09:00
264,2024/08/10 09:00
265,2024/08/10 09:00
269,2024/08/10 09:00
270,2024/08/10 09:00
272,2024/08/10 09:00
274,2024/08/10 09:00
279,2024/08/10 09:00
282,2024/08/10 09:00
254,2024/08/10 09:00
260,2024/08/10 09:00
263,2024/08/10 09:00
273,2024/08/10 09:00
281,2024/08/10 09:00
283,2024/08/10 13:00
284,2024/08/10 13:00
286,2024/08/10 13:00
291,2024/08/10 13:00
292,2024/08/10 13:00
301,2024/08/10 13:00
290,2024/08/10 13:00
299,2024/08/10 13:00
