ficha,fechaYHoraInicio
2496,2024/08/12 13:00
2481,2024/08/12 13:00
2387,2024/08/12 13:00
2380,2024/08/12 13:00
2296,2024/08/12 13:00
2931,2024/08/12 13:00
2926,2024/08/12 13:00
2920,2024/08/12 13:00
2919,2024/08/12 13:00
2914,2024/08/12 13:00
2913,2024/08/12 13:00
2906,2024/08/12 13:00
2905,2024/08/12 13:00
2903,2024/08/12 13:00
2891,2024/08/12 13:00
2881,2024/08/12 13:00
2875,2024/08/12 13:00
2873,2024/08/12 13:00
2869,2024/08/12 13:00
2862,2024/08/12 13:00
2857,2024/08/12 13:00
2856,2024/08/12 13:00
