ficha,fechaYHoraInicio
240458,2024/08/12 10:00
240724,2024/08/12 10:00
240838,2024/08/12 10:00
240891,2024/08/12 10:00
240903,2024/08/12 10:00
240938,2024/08/12 10:00
240939,2024/08/12 10:00
240940,2024/08/12 10:00
240941,2024/08/12 10:00
240942,2024/08/12 10:00
240949,2024/08/12 10:00
240966,2024/08/12 10:00
240967,2024/08/12 10:00
240968,2024/08/12 10:00
240991,2024/08/12 10:00
241016,2024/08/12 10:00
241017,2024/08/12 10:00
241055,2024/08/12 10:00
241056,2024/08/12 10:00
241057,2024/08/12 10:00
