ficha,fechaYHoraInicio
12253,2024/08/17 10:00
12251,2024/08/17 10:00
12244,2024/08/17 10:00
12234,2024/08/17 10:00
12232,2024/08/17 10:00
12220,2024/08/17 10:00
12218,2024/08/17 10:00
12217,2024/08/17 10:00
12212,2024/08/17 10:00
12204,2024/08/17 10:00
12202,2024/08/17 10:00
12201,2024/08/17 10:00
12194,2024/08/17 10:00
12262,2024/08/17 10:00
12261,2024/08/17 10:00
12260,2024/08/17 10:00
12258,2024/08/17 10:00
12254,2024/08/17 10:00
12229,2024/08/17 10:00
12228,2024/08/17 10:00
12213,2024/08/17 10:00
12205,2024/08/17 10:00
12199,2024/08/17 10:00
12263,2024/08/17 10:00
12256,2024/08/17 10:00
12248,2024/08/17 10:00
12247,2024/08/17 10:00
12224,2024/08/17 10:00
12219,2024/08/17 10:00
12216,2024/08/17 10:00
12209,2024/08/17 10:00
12257,2024/08/17 10:00
12245,2024/08/17 10:00
12241,2024/08/17 10:00
12222,2024/08/17 10:00
12210,2024/08/17 10:00
12200,2024/08/17 10:00
12197,2024/08/17 10:00
12250,2024/08/17 10:00
12238,2024/08/17 10:00
12237,2024/08/17 10:00
12226,2024/08/17 10:00
12198,2024/08/17 10:00
12196,2024/08/17 10:00
12259,2024/08/17 10:00
12243,2024/08/17 10:00
12233,2024/08/17 10:00
12230,2024/08/17 10:00
12225,2024/08/17 10:00
12208,2024/08/17 10:00
12207,2024/08/17 10:00
12203,2024/08/17 10:00
12215,2024/08/17 10:00
12195,2024/08/17 10:00
12255,2024/08/17 10:00
12249,2024/08/17 10:00
12246,2024/08/17 10:00
12242,2024/08/17 10:00
12240,2024/08/17 10:00
12235,2024/08/17 10:00
12231,2024/08/17 10:00
12223,2024/08/17 10:00
12221,2024/08/17 10:00
12211,2024/08/17 10:00
12193,2024/08/17 10:00
12252,2024/08/17 10:00
12239,2024/08/17 10:00
12236,2024/08/17 10:00
12227,2024/08/17 10:00
12214,2024/08/17 10:00
12206,2024/08/17 10:00
