ficha,fechaYHoraInicio
2135,2024/08/19 09:00
2119,2024/08/19 09:00
2123,2024/08/19 09:00
2173,2024/08/19 09:00
2176,2024/08/19 09:00
2213,2024/08/19 09:00
2195,2024/08/19 09:00
2202,2024/08/19 09:00
2197,2024/08/19 09:00
2235,2024/08/19 09:00
2238,2024/08/19 09:00
2245,2024/08/19 09:00
2404,2024/08/19 09:00
2187,2024/08/19 09:00
2282,2024/08/19 09:00
2296,2024/08/19 09:00
2309,2024/08/19 09:00
2322,2024/08/19 09:00
2325,2024/08/19 09:00
2346,2024/08/19 09:00
2338,2024/08/19 09:00
2349,2024/08/19 09:00
2381,2024/08/19 09:00
2397,2024/08/19 09:00
2122,2024/08/19 09:00
2301,2024/08/19 09:00
2147,2024/08/19 09:00
2248,2024/08/19 09:00
2138,2024/08/19 09:00
2456,2024/08/19 09:00
2143,2024/08/19 09:00
2160,2024/08/19 09:00
2617,2024/08/19 09:00
2405,2024/08/19 09:00
2210,2024/08/19 09:00
1970,2024/08/19 09:00
1767,2024/08/19 09:00
1771,2024/08/19 09:00
1812,2024/08/19 09:00
1817,2024/08/19 09:00
1822,2024/08/19 09:00
1837,2024/08/19 12:00
1845,2024/08/19 12:00
1865,2024/08/19 12:00
1883,2024/08/19 12:00
1913,2024/08/19 12:00
1919,2024/08/19 12:00
1967,2024/08/19 12:00
1963,2024/08/19 12:00
1960,2024/08/19 12:00
1971,2024/08/19 12:00
1989,2024/08/19 12:00
1993,2024/08/19 12:00
1999,2024/08/19 12:00
2013,2024/08/19 12:00
2014,2024/08/19 12:00
2029,2024/08/19 12:00
2028,2024/08/19 12:00
2025,2024/08/19 12:00
2032,2024/08/19 12:00
2056,2024/08/19 12:00
2061,2024/08/19 12:00
2064,2024/08/19 12:00
2068,2024/08/19 12:00
2084,2024/08/19 12:00
2075,2024/08/19 12:00
2078,2024/08/19 12:00
2090,2024/08/19 12:00
1961,2024/08/19 12:00
1981,2024/08/19 12:00
1800,2024/08/19 12:00
1992,2024/08/19 12:00
1935,2024/08/19 12:00
1794,2024/08/19 12:00
2000,2024/08/19 12:00
1807,2024/08/19 12:00
1926,2024/08/19 12:00
1974,2024/08/19 12:00
1756,2024/08/19 12:00
2021,2024/08/19 12:00
1820,2024/08/19 12:00
