ficha,fechaYHoraInicio
240456,2024/08/20 09:30
240449,2024/08/20 09:30
240443,2024/08/20 09:30
240439,2024/08/20 09:30
240433,2024/08/20 09:30
240417,2024/08/20 09:30
240413,2024/08/20 09:30
240393,2024/08/20 09:30
240392,2024/08/20 09:30
240382,2024/08/20 09:30
240380,2024/08/20 09:30
240375,2024/08/20 09:30
240365,2024/08/20 09:30
240346,2024/08/20 09:30
240344,2024/08/20 09:30
240322,2024/08/20 09:30
240314,2024/08/20 09:30
240472,2024/08/20 09:30
240463,2024/08/20 09:30
240450,2024/08/20 09:30
240441,2024/08/20 09:30
240427,2024/08/20 09:30
240426,2024/08/20 09:30
240425,2024/08/20 09:30
240414,2024/08/20 09:30
240410,2024/08/20 09:30
240398,2024/08/20 09:30
240390,2024/08/20 09:30
240388,2024/08/20 09:30
240385,2024/08/20 09:30
240378,2024/08/20 09:30
240364,2024/08/20 09:30
240362,2024/08/20 09:30
240351,2024/08/20 09:30
240341,2024/08/20 09:30
240336,2024/08/20 09:30
240335,2024/08/20 09:30
240328,2024/08/20 09:30
240313,2024/08/20 09:30
240478,2024/08/20 09:30
240477,2024/08/20 09:30
240476,2024/08/20 09:30
240446,2024/08/20 09:30
240440,2024/08/20 09:30
240415,2024/08/20 09:30
240401,2024/08/20 09:30
240384,2024/08/20 09:30
240371,2024/08/20 09:30
240360,2024/08/20 09:30
240359,2024/08/20 09:30
240348,2024/08/20 09:30
240342,2024/08/20 09:30
240337,2024/08/20 09:30
240321,2024/08/20 09:30
240475,2024/08/20 09:30
240471,2024/08/20 09:30
240461,2024/08/20 09:30
240455,2024/08/20 09:30
240445,2024/08/20 09:30
240434,2024/08/20 09:30
240430,2024/08/20 09:30
240412,2024/08/20 09:30
240411,2024/08/20 09:30
240407,2024/08/20 09:30
240373,2024/08/20 09:30
240356,2024/08/20 09:30
240355,2024/08/20 09:30
240353,2024/08/20 09:30
240352,2024/08/20 09:30
240345,2024/08/20 09:30
240329,2024/08/20 09:30
240317,2024/08/20 09:30
240480,2024/08/20 09:30
240479,2024/08/20 09:30
240469,2024/08/20 09:30
240467,2024/08/20 09:30
240460,2024/08/20 09:30
240457,2024/08/20 09:30
240444,2024/08/20 09:30
240438,2024/08/20 09:30
240437,2024/08/20 09:30
240435,2024/08/20 09:30
240429,2024/08/20 09:30
240421,2024/08/20 09:30
240420,2024/08/20 09:30
240402,2024/08/20 09:30
240400,2024/08/20 09:30
240397,2024/08/20 09:30
240396,2024/08/20 09:30
240395,2024/08/20 09:30
240394,2024/08/20 09:30
240391,2024/08/20 09:30
240376,2024/08/20 09:30
240368,2024/08/20 09:30
240366,2024/08/20 09:30
240354,2024/08/20 09:30
240350,2024/08/20 09:30
240349,2024/08/20 09:30
240347,2024/08/20 09:30
240343,2024/08/20 09:30
240333,2024/08/20 09:30
240332,2024/08/20 09:30
240320,2024/08/20 09:30
240315,2024/08/20 09:30
240482,2024/08/20 09:30
240481,2024/08/20 09:30
240474,2024/08/20 09:30
240473,2024/08/20 09:30
240466,2024/08/20 09:30
240464,2024/08/20 09:30
240462,2024/08/20 09:30
240458,2024/08/20 09:30
240409,2024/08/20 09:30
240406,2024/08/20 09:30
240389,2024/08/20 09:30
240386,2024/08/20 09:30
240372,2024/08/20 09:30
240363,2024/08/20 09:30
240357,2024/08/20 09:30
240325,2024/08/20 09:30
240324,2024/08/20 09:30
240323,2024/08/20 09:30
240470,2024/08/20 09:30
240465,2024/08/20 09:30
240459,2024/08/20 09:30
240454,2024/08/20 09:30
240453,2024/08/20 09:30
240448,2024/08/20 09:30
240442,2024/08/20 09:30
240432,2024/08/20 09:30
240423,2024/08/20 09:30
240418,2024/08/20 09:30
240416,2024/08/20 09:30
240408,2024/08/20 09:30
240405,2024/08/20 09:30
240399,2024/08/20 09:30
240340,2024/08/20 09:30
240338,2024/08/20 09:30
240334,2024/08/20 09:30
240326,2024/08/20 09:30
240319,2024/08/20 09:30
240318,2024/08/20 09:30
240447,2024/08/20 09:30
240381,2024/08/20 09:30
240468,2024/08/20 09:30
240452,2024/08/20 09:30
240451,2024/08/20 09:30
240436,2024/08/20 09:30
240431,2024/08/20 09:30
240424,2024/08/20 09:30
240422,2024/08/20 09:30
240419,2024/08/20 09:30
240404,2024/08/20 09:30
240403,2024/08/20 09:30
240387,2024/08/20 09:30
240383,2024/08/20 09:30
240379,2024/08/20 09:30
240377,2024/08/20 09:30
240374,2024/08/20 09:30
240370,2024/08/20 09:30
240361,2024/08/20 09:30
240358,2024/08/20 09:30
240339,2024/08/20 09:30
240327,2024/08/20 09:30
240316,2024/08/20 09:30
