ficha,fechaYHoraInicio
1,2024/08/22 09:00
6,2024/08/22 09:00
7,2024/08/22 09:00
11,2024/08/22 09:00
14,2024/08/22 09:00
19,2024/08/22 09:00
20,2024/08/22 09:00
27,2024/08/22 09:00
32,2024/08/22 09:00
34,2024/08/22 09:00
38,2024/08/22 09:00
40,2024/08/22 09:00
42,2024/08/22 09:00
43,2024/08/22 09:00
44,2024/08/22 09:00
45,2024/08/22 09:00
46,2024/08/22 09:00
47,2024/08/22 09:00
51,2024/08/22 09:00
53,2024/08/22 09:00
55,2024/08/22 09:00
57,2024/08/22 09:00
58,2024/08/22 09:00
65,2024/08/22 09:00
70,2024/08/22 09:00
71,2024/08/22 09:00
73,2024/08/22 09:00
74,2024/08/22 09:00
77,2024/08/22 09:00
78,2024/08/22 09:00
82,2024/08/22 09:00
83,2024/08/22 09:00
85,2024/08/22 09:00
87,2024/08/22 09:00
98,2024/08/22 09:00
100,2024/08/22 09:00
103,2024/08/22 09:00
104,2024/08/22 09:00
105,2024/08/22 09:00
109,2024/08/22 09:00
111,2024/08/22 09:00
114,2024/08/22 09:00
115,2024/08/22 09:00
127,2024/08/22 09:00
128,2024/08/22 09:00
130,2024/08/22 09:00
131,2024/08/22 09:00
138,2024/08/22 09:00
142,2024/08/22 09:00
145,2024/08/22 09:00
146,2024/08/22 09:00
147,2024/08/22 09:00
150,2024/08/22 09:00
155,2024/08/22 09:00
156,2024/08/22 09:00
159,2024/08/22 09:00
160,2024/08/22 09:00
161,2024/08/22 09:00
163,2024/08/22 09:00
165,2024/08/22 09:00
169,2024/08/22 09:00
170,2024/08/22 09:00
173,2024/08/22 09:00
174,2024/08/22 09:00
179,2024/08/22 09:00
187,2024/08/22 09:00
200,2024/08/22 09:00
201,2024/08/22 09:00
204,2024/08/22 09:00
205,2024/08/22 09:00
207,2024/08/22 09:00
31,2024/08/22 09:00
