ficha,fechaYHoraInicio
240472,2024/08/23 09:00
240463,2024/08/23 09:00
240450,2024/08/23 09:00
240441,2024/08/23 09:00
240427,2024/08/23 09:00
240426,2024/08/23 09:00
240425,2024/08/23 09:00
240414,2024/08/23 09:00
240410,2024/08/23 09:00
240398,2024/08/23 09:00
240390,2024/08/23 09:00
240388,2024/08/23 09:00
240385,2024/08/23 09:00
240378,2024/08/23 09:00
240364,2024/08/23 09:00
240362,2024/08/23 09:00
240351,2024/08/23 09:00
240341,2024/08/23 09:00
240336,2024/08/23 09:00
240335,2024/08/23 09:00
240328,2024/08/23 09:00
240313,2024/08/23 09:00
