ficha,fechaYHoraInicio
2024-057,2024/08/23 12:00
2024-061,2024/08/23 12:00
2024-062,2024/08/23 12:00
2024-068,2024/08/23 12:00
2024-072,2024/08/23 12:00
2024-074,2024/08/23 12:00
2024-076,2024/08/23 12:00
2024-080,2024/08/23 12:00
2024-083,2024/08/23 12:00
2024-085,2024/08/23 12:00
2024-088,2024/08/23 12:00
2024-091,2024/08/23 12:00
2024-095,2024/08/23 12:00
2024-097,2024/08/23 12:00
2024-098,2024/08/23 12:00
2024-100,2024/08/23 12:00
2024-004,2024/08/23 09:00
2024-009,2024/08/23 09:00
2024-010,2024/08/23 09:00
2024-013,2024/08/23 09:00
2024-016,2024/08/23 09:00
2024-019,2024/08/23 09:00
2024-021,2024/08/23 09:00
2024-023,2024/08/23 09:00
2024-028,2024/08/23 09:00
2024-029,2024/08/23 09:00
2024-030,2024/08/23 09:00
2024-036,2024/08/23 09:00
2024-037,2024/08/23 09:00
2024-039,2024/08/23 09:00
2024-042,2024/08/23 09:00
2024-053,2024/08/23 09:00
