ficha,fechaYHoraInicio
130003,2024/08/24 09:00
130005,2024/08/24 09:00
130006,2024/08/24 09:00
130010,2024/08/24 09:00
130011,2024/08/24 09:00
130012,2024/08/24 09:00
130014,2024/08/24 09:00
130015,2024/08/24 09:00
130016,2024/08/24 09:00
130018,2024/08/24 09:00
130020,2024/08/24 09:00
130022,2024/08/24 09:00
130021,2024/08/24 09:00
130023,2024/08/24 09:00
130024,2024/08/24 09:00
130025,2024/08/24 09:00
130027,2024/08/24 09:00
130026,2024/08/24 09:00
130028,2024/08/24 09:00
130029,2024/08/24 09:00
130032,2024/08/24 09:00
130030,2024/08/24 09:00
130031,2024/08/24 09:00
100002,2024/08/24 09:00
100006,2024/08/24 09:00
100007,2024/08/24 09:00
100010,2024/08/24 09:00
100011,2024/08/24 09:00
100012,2024/08/24 09:00
100013,2024/08/24 09:00
100014,2024/08/24 09:00
100018,2024/08/24 09:00
100020,2024/08/24 09:00
100022,2024/08/24 09:00
100026,2024/08/24 09:00
100029,2024/08/24 09:00
100031,2024/08/24 09:00
100032,2024/08/24 09:00
100033,2024/08/24 09:00
100038,2024/08/24 09:00
100036,2024/08/24 09:00
100035,2024/08/24 09:00
100037,2024/08/24 09:00
100034,2024/08/24 09:00
100039,2024/08/24 09:00
100040,2024/08/24 09:00
100041,2024/08/24 09:00
100043,2024/08/24 09:00
100042,2024/08/24 09:00
100044,2024/08/24 09:00
100045,2024/08/24 09:00
100046,2024/08/24 09:00
100048,2024/08/24 09:00
100047,2024/08/24 09:00
100049,2024/08/24 09:00
100050,2024/08/24 09:00
100051,2024/08/24 09:00
100052,2024/08/24 09:00
090002,2024/08/24 09:00
090003,2024/08/24 09:00
090004,2024/08/24 09:00
090010,2024/08/24 09:00
090016,2024/08/24 09:00
090021,2024/08/24 09:00
090028,2024/08/24 09:00
090027,2024/08/24 09:00
090029,2024/08/24 09:00
090025,2024/08/24 09:00
090026,2024/08/24 09:00
090024,2024/08/24 09:00
090030,2024/08/24 09:00
090031,2024/08/24 09:00
090032,2024/08/24 09:00
090034,2024/08/24 09:00
090035,2024/08/24 09:00
090033,2024/08/24 09:00
090036,2024/08/24 09:00
090037,2024/08/24 09:00
090038,2024/08/24 09:00
090041,2024/08/24 09:00
090039,2024/08/24 09:00
090040,2024/08/24 09:00
090042,2024/08/24 09:00
190003,2024/08/24 09:00
190006,2024/08/24 09:00
190009,2024/08/24 09:00
190010,2024/08/24 09:00
190011,2024/08/24 09:00
190012,2024/08/24 09:00
190013,2024/08/24 09:00
190015,2024/08/24 09:00
190016,2024/08/24 09:00
