ficha,fechaYHoraInicio
010035,2024/08/27 10:00
010069,2024/08/27 10:00
010076,2024/08/27 10:00
010078,2024/08/27 10:00
010093,2024/08/27 10:00
010109,2024/08/27 10:00
010110,2024/08/27 10:00
010112,2024/08/27 10:00
010113,2024/08/27 10:00
010114,2024/08/27 10:00
010115,2024/08/27 10:00
010116,2024/08/27 10:00
010117,2024/08/27 10:00
010118,2024/08/27 10:00
010119,2024/08/27 10:00
010120,2024/08/27 10:00
010122,2024/08/27 10:00
010123,2024/08/27 10:00
010124,2024/08/27 10:00
010125,2024/08/27 10:00
010126,2024/08/27 10:00
010127,2024/08/27 10:00
030023,2024/08/27 10:00
030135,2024/08/27 10:00
030138,2024/08/27 10:00
030139,2024/08/27 10:00
030140,2024/08/27 10:00
030141,2024/08/27 10:00
030142,2024/08/27 10:00
030143,2024/08/27 10:00
030144,2024/08/27 10:00
030145,2024/08/27 10:00
030146,2024/08/27 10:00
030147,2024/08/27 10:00
030148,2024/08/27 10:00
030149,2024/08/27 10:00
030150,2024/08/27 10:00
030155,2024/08/27 10:00
030156,2024/08/27 10:00
030157,2024/08/27 10:00
030161,2024/08/27 10:00
030162,2024/08/27 10:00
030163,2024/08/27 10:00
030164,2024/08/27 10:00
030167,2024/08/27 10:00
030168,2024/08/27 10:00
030169,2024/08/27 10:00
030170,2024/08/27 10:00
040063,2024/08/27 10:00
040064,2024/08/27 10:00
040065,2024/08/27 10:00
040066,2024/08/27 10:00
040067,2024/08/27 10:00
040068,2024/08/27 10:00
040069,2024/08/27 10:00
040070,2024/08/27 10:00
040071,2024/08/27 10:00
070011,2024/08/27 10:00
070029,2024/08/27 10:00
070043,2024/08/27 10:00
070044,2024/08/27 10:00
070046,2024/08/27 10:00
070047,2024/08/27 10:00
070048,2024/08/27 10:00
070049,2024/08/27 10:00
070050,2024/08/27 10:00
070051,2024/08/27 10:00
070052,2024/08/27 10:00
070053,2024/08/27 10:00
070054,2024/08/27 10:00
070055,2024/08/27 10:00
070056,2024/08/27 10:00
070057,2024/08/27 10:00
070058,2024/08/27 10:00
070059,2024/08/27 10:00
070060,2024/08/27 10:00
070061,2024/08/27 10:00
070062,2024/08/27 10:00
070063,2024/08/27 10:00
