ficha,fechaYHoraInicio
020001,2024/07/01 12:00
020002,2024/07/01 12:00
020003,2024/07/01 12:00
020004,2024/07/01 12:00
020005,2024/07/01 12:00
020006,2024/07/01 12:00
020007,2024/07/01 12:00
020008,2024/07/01 12:00
020009,2024/07/01 12:00
020010,2024/07/01 12:00
020011,2024/07/01 12:00
020012,2024/07/01 12:00
020013,2024/07/01 12:00
020014,2024/07/01 12:00
020015,2024/07/01 12:00
020016,2024/07/01 12:00
020017,2024/07/01 12:00
020018,2024/07/01 12:00
020019,2024/07/01 12:00
020020,2024/07/01 12:00
020021,2024/07/01 12:00
020022,2024/07/01 12:00
020023,2024/07/01 12:00
020024,2024/07/01 12:00
020025,2024/07/01 12:00
020026,2024/07/01 12:00
020027,2024/07/01 12:00
020028,2024/07/01 12:00
030026,2024/07/01 12:00
020029,2024/07/01 12:00
