ficha,fechaYHoraInicio
IIAS01,2024/07/02 07:00
IIAS02,2024/07/02 07:00
IIAS03,2024/07/02 07:00
IIAS04,2024/07/02 07:00
IIAS05,2024/07/02 07:00
IIAS06,2024/07/02 07:00
IIAS07,2024/07/02 07:00
IIAS08,2024/07/02 07:00
IIAS09,2024/07/02 07:00
IIAS10,2024/07/02 07:00
IIAS11,2024/07/02 07:00
IIAS12,2024/07/02 07:00
IIAS13,2024/07/02 07:00
IIAS14,2024/07/02 07:00
IIAS15,2024/07/02 07:00
IIAS16,2024/07/02 07:00
IIAS17,2024/07/02 07:00
IIAS18,2024/07/02 07:00
IIAS19,2024/07/02 07:00
IIAS20,2024/07/02 07:00
IIAS21,2024/07/02 07:00
IIAS22,2024/07/02 07:00
IIAS23,2024/07/02 07:00
IIAS24,2024/07/02 07:00
IIAS25,2024/07/02 07:00
IIAS26,2024/07/02 07:00
IIAS27,2024/07/02 07:00
IIAS28,2024/07/02 07:00
