ficha,fechaYHoraInicio
ARQ00395,2024/07/03 09:00
ARQ00402,2024/07/03 09:00
ARQ00403,2024/07/03 09:00
ARQ00381,2024/07/03 09:00
ARQ00408,2024/07/03 09:00
ARQ00399,2024/07/03 09:00
ARQ00390,2024/07/03 09:00
ARQ00392,2024/07/03 09:00
ARQ00391,2024/07/03 09:00
ARQ00406,2024/07/03 09:00
ARQ00398,2024/07/03 09:00
ARQ00374,2024/07/03 09:00
ARQ00387,2024/07/03 09:00
ARQ00401,2024/07/03 09:00
ARQ00407,2024/07/03 09:00
ARQ00405,2024/07/03 09:00
ARQ00411,2024/07/03 09:00
ARQ00379,2024/07/03 09:00
ARQ00376,2024/07/03 09:00
ARQ00388,2024/07/03 09:00
ARQ00386,2024/07/03 09:00
ARQ00400,2024/07/03 09:00
ARQ00375,2024/07/03 09:00
ARQ00382,2024/07/03 09:00
ARQ00378,2024/07/03 09:00
ARQ00397,2024/07/03 09:00
ARQ00380,2024/07/03 09:00
ARQ00413,2024/07/03 09:00
ARQ00409,2024/07/03 09:00
ARQ00383,2024/07/03 09:00
ARQ00396,2024/07/03 09:00
ARQ00384,2024/07/03 09:00
ARQ00414,2024/07/03 09:00
ARQ00389,2024/07/03 09:00
ARQ00393,2024/07/03 09:00
ARQ00410,2024/07/03 09:00
ARQ00412,2024/07/03 09:00
ARQ00385,2024/07/03 09:00
ARQ00377,2024/07/03 09:00
