ficha,fechaYHoraInicio
010001,2024/07/04 08:00
010002,2024/07/04 08:00
010003,2024/07/04 08:00
010004,2024/07/04 08:00
010006,2024/07/04 08:00
010007,2024/07/04 08:00
010008,2024/07/04 08:00
010009,2024/07/04 08:00
010010,2024/07/04 08:00
010011,2024/07/04 08:00
010012,2024/07/04 08:00
010013,2024/07/04 08:00
010014,2024/07/04 08:00
040001,2024/07/04 08:00
040002,2024/07/04 08:00
040003,2024/07/04 08:00
040004,2024/07/04 08:00
040005,2024/07/04 08:00
040006,2024/07/04 08:00
040007,2024/07/04 08:00
040008,2024/07/04 08:00
040009,2024/07/04 08:00
040010,2024/07/04 08:00
040011,2024/07/04 08:00
040012,2024/07/04 08:00
040013,2024/07/04 08:00
040014,2024/07/04 08:00
040015,2024/07/04 08:00
040016,2024/07/04 08:00
040017,2024/07/04 08:00
040018,2024/07/04 08:00
040019,2024/07/04 08:00
040020,2024/07/04 08:00
040021,2024/07/04 08:00
040022,2024/07/04 08:00
040023,2024/07/04 08:00
040024,2024/07/04 08:00
040025,2024/07/04 08:00
040026,2024/07/04 08:00
040027,2024/07/04 08:00
040028,2024/07/04 08:00
040029,2024/07/04 08:00
040030,2024/07/04 08:00
040031,2024/07/04 08:00
040032,2024/07/04 08:00
040033,2024/07/04 08:00
040034,2024/07/04 08:00
040035,2024/07/04 08:00
040036,2024/07/04 08:00
040037,2024/07/04 08:00
040038,2024/07/04 08:00
040039,2024/07/04 08:00
040040,2024/07/04 08:00
040041,2024/07/04 08:00
040042,2024/07/04 08:00
040043,2024/07/04 08:00
040044,2024/07/04 08:00
040045,2024/07/04 08:00
040046,2024/07/04 08:00
040047,2024/07/04 08:00
040048,2024/07/04 08:00
040049,2024/07/04 08:00
040050,2024/07/04 08:00
040051,2024/07/04 08:00
040052,2024/07/04 08:00
040053,2024/07/04 08:00
040054,2024/07/04 08:00
050001,2024/07/04 08:00
050002,2024/07/04 08:00
050003,2024/07/04 08:00
050004,2024/07/04 08:00
050005,2024/07/04 08:00
050006,2024/07/04 08:00
050007,2024/07/04 08:00
050008,2024/07/04 08:00
050009,2024/07/04 08:00
050010,2024/07/04 08:00
050011,2024/07/04 08:00
050012,2024/07/04 08:00
050013,2024/07/04 08:00
050014,2024/07/04 08:00
050015,2024/07/04 08:00
050016,2024/07/04 08:00
050017,2024/07/04 08:00
050018,2024/07/04 08:00
050019,2024/07/04 08:00
050020,2024/07/04 08:00
050021,2024/07/04 08:00
050022,2024/07/04 08:00
050023,2024/07/04 08:00
050024,2024/07/04 08:00
050025,2024/07/04 08:00
050026,2024/07/04 08:00
050027,2024/07/04 08:00
050028,2024/07/04 08:00
050029,2024/07/04 08:00
050030,2024/07/04 08:00
050031,2024/07/04 08:00
050032,2024/07/04 08:00
050033,2024/07/04 08:00
050034,2024/07/04 08:00
050035,2024/07/04 08:00
050036,2024/07/04 08:00
050037,2024/07/04 08:00
050038,2024/07/04 08:00
060001,2024/07/04 08:00
060002,2024/07/04 08:00
060003,2024/07/04 08:00
060004,2024/07/04 08:00
060005,2024/07/04 08:00
060006,2024/07/04 08:00
060007,2024/07/04 08:00
060008,2024/07/04 08:00
060009,2024/07/04 08:00
060010,2024/07/04 08:00
060011,2024/07/04 08:00
060012,2024/07/04 08:00
060013,2024/07/04 08:00
060014,2024/07/04 08:00
060015,2024/07/04 08:00
060016,2024/07/04 08:00
060017,2024/07/04 08:00
060018,2024/07/04 08:00
060019,2024/07/04 08:00
060020,2024/07/04 08:00
060021,2024/07/04 08:00
060022,2024/07/04 08:00
060023,2024/07/04 08:00
060024,2024/07/04 08:00
060025,2024/07/04 08:00
060026,2024/07/04 08:00
060027,2024/07/04 08:00
060028,2024/07/04 08:00
060029,2024/07/04 08:00
060030,2024/07/04 08:00
060031,2024/07/04 08:00
060032,2024/07/04 08:00
060033,2024/07/04 08:00
060034,2024/07/04 08:00
060035,2024/07/04 08:00
060036,2024/07/04 08:00
060037,2024/07/04 08:00
060038,2024/07/04 08:00
060039,2024/07/04 08:00
060040,2024/07/04 08:00
060041,2024/07/04 08:00
060042,2024/07/04 08:00
060043,2024/07/04 08:00
060044,2024/07/04 08:00
070001,2024/07/04 08:00
070002,2024/07/04 08:00
070003,2024/07/04 08:00
070004,2024/07/04 08:00
070005,2024/07/04 08:00
070006,2024/07/04 08:00
070007,2024/07/04 08:00
070008,2024/07/04 08:00
070009,2024/07/04 08:00
070010,2024/07/04 08:00
070011,2024/07/04 08:00
070012,2024/07/04 08:00
070013,2024/07/04 08:00
070014,2024/07/04 08:00
070015,2024/07/04 08:00
070016,2024/07/04 08:00
070017,2024/07/04 08:00
070018,2024/07/04 08:00
070019,2024/07/04 08:00
070020,2024/07/04 08:00
070021,2024/07/04 08:00
070022,2024/07/04 08:00
070023,2024/07/04 08:00
070024,2024/07/04 08:00
070025,2024/07/04 08:00
070026,2024/07/04 08:00
070027,2024/07/04 08:00
070028,2024/07/04 08:00
070029,2024/07/04 08:00
070030,2024/07/04 08:00
070031,2024/07/04 08:00
070032,2024/07/04 08:00
070033,2024/07/04 08:00
070034,2024/07/04 08:00
070035,2024/07/04 08:00
070036,2024/07/04 08:00
070037,2024/07/04 08:00
070038,2024/07/04 08:00
070039,2024/07/04 08:00
070040,2024/07/04 08:00
070041,2024/07/04 08:00
070042,2024/07/04 08:00
070043,2024/07/04 08:00
070044,2024/07/04 08:00
070045,2024/07/04 08:00
070046,2024/07/04 08:00
070047,2024/07/04 08:00
070048,2024/07/04 08:00
070049,2024/07/04 08:00
070050,2024/07/04 08:00
070051,2024/07/04 08:00
070052,2024/07/04 08:00
070053,2024/07/04 08:00
070054,2024/07/04 08:00
070055,2024/07/04 08:00
070056,2024/07/04 08:00
070057,2024/07/04 08:00
070058,2024/07/04 08:00
070059,2024/07/04 08:00
070060,2024/07/04 08:00
070061,2024/07/04 08:00
070062,2024/07/04 08:00
070063,2024/07/04 08:00
080001,2024/07/04 08:00
080002,2024/07/04 08:00
080003,2024/07/04 08:00
080004,2024/07/04 08:00
080005,2024/07/04 08:00
080006,2024/07/04 08:00
080007,2024/07/04 08:00
080008,2024/07/04 08:00
010005,2024/07/04 08:00
080009,2024/07/04 08:00
080010,2024/07/04 08:00
080011,2024/07/04 08:00
080012,2024/07/04 08:00
080013,2024/07/04 08:00
080014,2024/07/04 08:00
080015,2024/07/04 08:00
080016,2024/07/04 08:00
080017,2024/07/04 08:00
080018,2024/07/04 08:00
080019,2024/07/04 08:00
080020,2024/07/04 08:00
080021,2024/07/04 08:00
080022,2024/07/04 08:00
080023,2024/07/04 08:00
080025,2024/07/04 08:00
080026,2024/07/04 08:00
080027,2024/07/04 08:00
080028,2024/07/04 08:00
080029,2024/07/04 08:00
080030,2024/07/04 08:00
080031,2024/07/04 08:00
080032,2024/07/04 08:00
080033,2024/07/04 08:00
080034,2024/07/04 08:00
080035,2024/07/04 08:00
080036,2024/07/04 08:00
080037,2024/07/04 08:00
080038,2024/07/04 08:00
100001,2024/07/04 08:00
100002,2024/07/04 08:00
100003,2024/07/04 08:00
100004,2024/07/04 08:00
100005,2024/07/04 08:00
100006,2024/07/04 08:00
100007,2024/07/04 08:00
