ficha,fechaYHoraInicio
2842,2024/07/05 12:00
2834,2024/07/05 12:00
2826,2024/07/05 12:00
2825,2024/07/05 12:00
2820,2024/07/05 12:00
2819,2024/07/05 12:00
2816,2024/07/05 12:00
2809,2024/07/05 12:00
2806,2024/07/05 12:00
2797,2024/07/05 12:00
2791,2024/07/05 12:00
2790,2024/07/05 12:00
2787,2024/07/05 12:00
2785,2024/07/05 12:00
2782,2024/07/05 12:00
2780,2024/07/05 12:00
2774,2024/07/05 12:00
2770,2024/07/05 12:00
2769,2024/07/05 12:00
2765,2024/07/05 12:00
2756,2024/07/05 12:00
2754,2024/07/05 12:00
2753,2024/07/05 12:00
2748,2024/07/05 12:00
2747,2024/07/05 12:00
2745,2024/07/05 12:00
2742,2024/07/05 12:00
2741,2024/07/05 12:00
2727,2024/07/05 12:00
2720,2024/07/05 12:00
2704,2024/07/05 12:00
2703,2024/07/05 12:00
2679,2024/07/05 12:00
2678,2024/07/05 12:00
2660,2024/07/05 12:00
2649,2024/07/05 12:00
2641,2024/07/05 12:00
2632,2024/07/05 12:00
2629,2024/07/05 12:00
2627,2024/07/05 12:00
2625,2024/07/05 12:00
2585,2024/07/05 12:00
2578,2024/07/05 12:00
2542,2024/07/05 12:00
2494,2024/07/05 12:00
2469,2024/07/05 12:00
2450,2024/07/05 12:00
2445,2024/07/05 12:00
2444,2024/07/05 12:00
2432,2024/07/05 12:00
2423,2024/07/05 12:00
2412,2024/07/05 12:00
2397,2024/07/05 12:00
2394,2024/07/05 12:00
2377,2024/07/05 12:00
2370,2024/07/05 12:00
2365,2024/07/05 12:00
2338,2024/07/05 12:00
2336,2024/07/05 12:00
2334,2024/07/05 12:00
2333,2024/07/05 12:00
2322,2024/07/05 12:00
2321,2024/07/05 12:00
2318,2024/07/05 12:00
2317,2024/07/05 12:00
2316,2024/07/05 12:00
2314,2024/07/05 12:00
2312,2024/07/05 12:00
2310,2024/07/05 12:00
2302,2024/07/05 12:00
2300,2024/07/05 12:00
