ficha,fechaYHoraInicio
2848,2024/07/05 10:00
2839,2024/07/05 10:00
2837,2024/07/05 10:00
2815,2024/07/05 10:00
2805,2024/07/05 10:00
2804,2024/07/05 10:00
2803,2024/07/05 10:00
2788,2024/07/05 10:00
2767,2024/07/05 10:00
2762,2024/07/05 10:00
2759,2024/07/05 10:00
2744,2024/07/05 10:00
2730,2024/07/05 10:00
2711,2024/07/05 10:00
2682,2024/07/05 10:00
2681,2024/07/05 10:00
2675,2024/07/05 10:00
2674,2024/07/05 10:00
2672,2024/07/05 10:00
2668,2024/07/05 10:00
2665,2024/07/05 10:00
2659,2024/07/05 10:00
2658,2024/07/05 10:00
2655,2024/07/05 10:00
2653,2024/07/05 10:00
2640,2024/07/05 10:00
2624,2024/07/05 10:00
2516,2024/07/05 10:00
2511,2024/07/05 10:00
2466,2024/07/05 10:00
2464,2024/07/05 10:00
2462,2024/07/05 10:00
2426,2024/07/05 10:00
2405,2024/07/05 10:00
2396,2024/07/05 10:00
2392,2024/07/05 10:00
2389,2024/07/05 10:00
2387,2024/07/05 10:00
2383,2024/07/05 10:00
2380,2024/07/05 10:00
2366,2024/07/05 10:00
2364,2024/07/05 10:00
2360,2024/07/05 10:00
2357,2024/07/05 10:00
2354,2024/07/05 10:00
2351,2024/07/05 10:00
2342,2024/07/05 10:00
2329,2024/07/05 10:00
2328,2024/07/05 10:00
2326,2024/07/05 10:00
2320,2024/07/05 10:00
2309,2024/07/05 10:00
2307,2024/07/05 10:00
2301,2024/07/05 10:00
2296,2024/07/05 10:00
2295,2024/07/05 10:00
