ficha,fechaYHoraInicio
2821,2024/07/05 14:00
2798,2024/07/05 14:00
2796,2024/07/05 14:00
2779,2024/07/05 14:00
2777,2024/07/05 14:00
2775,2024/07/05 14:00
2764,2024/07/05 14:00
2758,2024/07/05 14:00
2751,2024/07/05 14:00
2750,2024/07/05 14:00
2676,2024/07/05 14:00
2669,2024/07/05 14:00
2664,2024/07/05 14:00
2663,2024/07/05 14:00
2662,2024/07/05 14:00
2652,2024/07/05 14:00
2515,2024/07/05 14:00
2480,2024/07/05 14:00
2446,2024/07/05 14:00
2442,2024/07/05 14:00
2419,2024/07/05 14:00
2414,2024/07/05 14:00
2404,2024/07/05 14:00
2403,2024/07/05 14:00
2385,2024/07/05 14:00
2335,2024/07/05 14:00
2331,2024/07/05 14:00
2330,2024/07/05 14:00
2327,2024/07/05 14:00
