ficha,fechaYHoraInicio
414,2024/07/05 09:00
404,2024/07/05 09:00
473,2024/07/05 09:00
433,2024/07/05 09:00
464,2024/07/05 09:00
448,2024/07/05 09:00
428,2024/07/05 09:00
462,2024/07/05 09:00
407,2024/07/05 09:00
170,2024/07/05 09:00
475,2024/07/05 09:00
466,2024/07/05 09:00
423,2024/07/05 09:00
10,2024/07/05 09:00
452,2024/07/05 09:00
440,2024/07/05 09:00
455,2024/07/05 09:00
453,2024/07/05 09:00
447,2024/07/05 09:00
397,2024/07/05 09:00
467,2024/07/05 09:00
463,2024/07/05 09:00
409,2024/07/05 09:00
402,2024/07/05 09:00
386,2024/07/05 09:00
205,2024/07/05 09:00
454,2024/07/05 09:00
461,2024/07/05 09:00
460,2024/07/05 09:00
158,2024/07/05 09:00
446,2024/07/05 09:00
410,2024/07/05 09:00
387,2024/07/05 09:00
471,2024/07/05 09:00
470,2024/07/05 09:00
459,2024/07/05 09:00
438,2024/07/05 09:00
426,2024/07/05 09:00
403,2024/07/05 09:00
196,2024/07/05 09:00
427,2024/07/05 09:00
398,2024/07/05 09:00
166,2024/07/05 09:00
445,2024/07/05 09:00
189,2024/07/05 09:00
413,2024/07/05 09:00
