ficha,fechaYHoraInicio
020012,2024/07/05 10:00
080002,2024/07/05 10:00
170001,2024/07/05 10:00
170002,2024/07/05 10:00
170003,2024/07/05 10:00
170004,2024/07/05 10:00
170005,2024/07/05 10:00
170006,2024/07/05 10:00
170007,2024/07/05 10:00
170008,2024/07/05 10:00
170009,2024/07/05 10:00
170010,2024/07/05 10:00
170011,2024/07/05 10:00
170012,2024/07/05 10:00
170013,2024/07/05 10:00
170014,2024/07/05 10:00
170015,2024/07/05 10:00
170016,2024/07/05 10:00
170017,2024/07/05 10:00
170018,2024/07/05 10:00
170019,2024/07/05 10:00
170020,2024/07/05 10:00
170021,2024/07/05 10:00
170022,2024/07/05 10:00
170023,2024/07/05 10:00
170024,2024/07/05 10:00
170025,2024/07/05 10:00
170026,2024/07/05 10:00
170027,2024/07/05 10:00
170028,2024/07/05 10:00
170029,2024/07/05 10:00
170030,2024/07/05 10:00
170031,2024/07/05 10:00
170032,2024/07/05 10:00
170033,2024/07/05 10:00
170034,2024/07/05 10:00
170035,2024/07/05 10:00
170036,2024/07/05 10:00
170037,2024/07/05 10:00
170038,2024/07/05 10:00
010013,2024/07/05 10:00
140002,2024/07/05 10:00
140003,2024/07/05 10:00
140004,2024/07/05 10:00
140005,2024/07/05 10:00
140006,2024/07/05 10:00
140007,2024/07/05 10:00
140008,2024/07/05 10:00
140009,2024/07/05 10:00
140010,2024/07/05 10:00
140011,2024/07/05 10:00
140012,2024/07/05 10:00
140013,2024/07/05 10:00
140014,2024/07/05 10:00
140015,2024/07/05 10:00
140016,2024/07/05 10:00
140017,2024/07/05 10:00
140018,2024/07/05 10:00
140019,2024/07/05 10:00
140020,2024/07/05 10:00
140021,2024/07/05 10:00
140022,2024/07/05 10:00
140023,2024/07/05 10:00
140024,2024/07/05 10:00
140025,2024/07/05 10:00
140026,2024/07/05 10:00
140028,2024/07/05 10:00
140029,2024/07/05 10:00
140030,2024/07/05 10:00
140031,2024/07/05 10:00
140032,2024/07/05 10:00
140033,2024/07/05 10:00
140034,2024/07/05 10:00
140035,2024/07/05 10:00
140036,2024/07/05 10:00
140037,2024/07/05 10:00
140038,2024/07/05 10:00
140039,2024/07/05 10:00
140040,2024/07/05 10:00
140041,2024/07/05 10:00
140042,2024/07/05 10:00
140043,2024/07/05 10:00
140044,2024/07/05 10:00
140045,2024/07/05 10:00
140046,2024/07/05 10:00
140047,2024/07/05 10:00
140048,2024/07/05 10:00
140049,2024/07/05 10:00
140050,2024/07/05 10:00
140051,2024/07/05 10:00
140052,2024/07/05 10:00
140053,2024/07/05 10:00
140054,2024/07/05 10:00
140055,2024/07/05 10:00
140056,2024/07/05 10:00
140057,2024/07/05 10:00
140058,2024/07/05 10:00
140059,2024/07/05 10:00
140060,2024/07/05 10:00
140061,2024/07/05 10:00
140062,2024/07/05 10:00
140063,2024/07/05 10:00
140064,2024/07/05 10:00
140065,2024/07/05 10:00
140066,2024/07/05 10:00
140067,2024/07/05 10:00
140068,2024/07/05 10:00
140069,2024/07/05 10:00
