ficha,fechaYHoraInicio
7344,2024/07/06 08:00
7350,2024/07/06 08:00
7351,2024/07/06 08:00
7358,2024/07/06 08:00
7362,2024/07/06 08:00
7367,2024/07/06 08:00
7371,2024/07/06 08:00
7374,2024/07/06 08:00
7376,2024/07/06 08:00
7379,2024/07/06 08:00
7380,2024/07/06 08:00
7383,2024/07/06 08:00
7384,2024/07/06 08:00
7387,2024/07/06 08:00
7388,2024/07/06 08:00
7394,2024/07/06 08:00
7395,2024/07/06 08:00
7409,2024/07/06 08:00
7416,2024/07/06 08:00
7419,2024/07/06 08:00
7429,2024/07/06 08:00
7431,2024/07/06 08:00
7438,2024/07/06 08:00
7441,2024/07/06 08:00
7442,2024/07/06 08:00
7446,2024/07/06 08:00
7451,2024/07/06 08:00
7461,2024/07/06 08:00
7470,2024/07/06 08:00
7478,2024/07/06 08:00
7483,2024/07/06 08:00
7484,2024/07/06 08:00
7495,2024/07/06 08:00
7497,2024/07/06 08:00
7499,2024/07/06 08:00
7500,2024/07/06 08:00
7504,2024/07/06 08:00
7505,2024/07/06 08:00
7506,2024/07/06 08:00
7515,2024/07/06 08:00
7516,2024/07/06 08:00
7520,2024/07/06 08:00
7521,2024/07/06 08:00
7524,2024/07/06 08:00
7542,2024/07/06 08:00
7546,2024/07/06 08:00
7548,2024/07/06 08:00
7557,2024/07/06 08:00
7562,2024/07/06 08:00
7564,2024/07/06 08:00
7565,2024/07/06 08:00
7566,2024/07/06 08:00
7567,2024/07/06 08:00
7571,2024/07/06 08:00
7573,2024/07/06 08:00
7575,2024/07/06 08:00
7579,2024/07/06 08:00
7580,2024/07/06 08:00
7583,2024/07/06 08:00
7592,2024/07/06 08:00
7613,2024/07/06 08:00
7620,2024/07/06 08:00
7630,2024/07/06 08:00
7631,2024/07/06 08:00
7632,2024/07/06 08:00
7635,2024/07/06 08:00
7638,2024/07/06 08:00
7640,2024/07/06 08:00
7647,2024/07/06 08:00
7649,2024/07/06 08:00
7654,2024/07/06 08:00
7661,2024/07/06 08:00
7665,2024/07/06 08:00
7672,2024/07/06 08:00
7677,2024/07/06 08:00
7685,2024/07/06 08:00
7686,2024/07/06 08:00
7688,2024/07/06 08:00
7696,2024/07/06 08:00
7704,2024/07/06 08:00
7709,2024/07/06 08:00
7725,2024/07/06 08:00
7732,2024/07/06 08:00
7736,2024/07/06 08:00
7739,2024/07/06 08:00
7741,2024/07/06 08:00
7753,2024/07/06 08:00
7754,2024/07/06 08:00
