ficha,fechaYHoraInicio
103522,2024/07/08 09:00
103167,2024/07/08 09:00
103577,2024/07/08 09:00
103626,2024/07/08 09:00
103325,2024/07/08 09:00
103209,2024/07/08 09:00
103253,2024/07/08 09:00
103354,2024/07/08 09:00
103010,2024/07/08 09:00
103404,2024/07/08 09:00
103344,2024/07/08 09:00
103075,2024/07/08 09:00
103042,2024/07/08 09:00
103528,2024/07/08 09:00
102817,2024/07/08 09:00
102814,2024/07/08 09:00
103578,2024/07/08 09:00
103348,2024/07/08 09:00
103390,2024/07/08 09:00
103586,2024/07/08 09:00
103575,2024/07/08 09:00
102962,2024/07/08 09:00
102712,2024/07/08 09:00
103279,2024/07/08 09:00
103367,2024/07/08 09:00
103599,2024/07/08 09:00
103539,2024/07/08 09:00
103503,2024/07/08 09:00
102984,2024/07/08 09:00
103601,2024/07/08 09:00
1029660,2024/07/08 09:00
102652,2024/07/08 09:00
102689,2024/07/08 09:00
102901,2024/07/08 09:00
102556,2024/07/08 09:00
102825,2024/07/08 09:00
102765,2024/07/08 09:00
102847,2024/07/08 09:00
102626,2024/07/08 09:00
102878,2024/07/08 09:00
102616,2024/07/08 09:00
103055,2024/07/08 09:00
102553,2024/07/08 09:00
102839,2024/07/08 09:00
103233,2024/07/08 09:00
103197,2024/07/08 09:00
102880,2024/07/08 09:00
103005,2024/07/08 09:00
102846,2024/07/08 09:00
102543,2024/07/08 09:00
101836,2024/07/08 09:00
102916,2024/07/08 09:00
103184,2024/07/08 09:00
102557,2024/07/08 09:00
103266,2024/07/08 09:00
102810,2024/07/08 09:00
103538,2024/07/08 09:00
103595,2024/07/08 09:00
100511,2024/07/08 09:00
102854,2024/07/08 09:00
103192,2024/07/08 09:00
102875,2024/07/08 09:00
102591,2024/07/08 09:00
102930,2024/07/08 09:00
102932,2024/07/08 09:00
103120,2024/07/08 09:00
102940,2024/07/08 09:00
103035,2024/07/08 09:00
103164,2024/07/08 09:00
103357,2024/07/08 09:00
103059,2024/07/08 09:00
102622,2024/07/08 09:00
102866,2024/07/08 09:00
103483,2024/07/08 09:00
103268,2024/07/08 09:00
103381,2024/07/08 09:00
102752,2024/07/08 09:00
103150,2024/07/08 09:00
102523,2024/07/08 09:00
103190,2024/07/08 09:00
102519,2024/07/08 09:00
102520,2024/07/08 09:00
102326,2024/07/08 09:00
102777,2024/07/08 09:00
103463,2024/07/08 09:00
102524,2024/07/08 09:00
102820,2024/07/08 09:00
102514,2024/07/08 09:00
102540,2024/07/08 09:00
102542,2024/07/08 09:00
102618,2024/07/08 09:00
102881,2024/07/08 09:00
102699,2024/07/08 09:00
102772,2024/07/08 09:00
102698,2024/07/08 09:00
102996,2024/07/08 09:00
102943,2024/07/08 09:00
103009,2024/07/08 09:00
103090,2024/07/08 09:00
102656,2024/07/08 09:00
102855,2024/07/08 09:00
103126,2024/07/08 09:00
102642,2024/07/08 09:00
101688,2024/07/08 09:00
102724,2024/07/08 09:00
102745,2024/07/08 09:00
103506,2024/07/08 09:00
103031,2024/07/08 09:00
103141,2024/07/08 09:00
103177,2024/07/08 09:00
102941,2024/07/08 09:00
102615,2024/07/08 09:00
102934,2024/07/08 09:00
102525,2024/07/08 09:00
103219,2024/07/08 09:00
102660,2024/07/08 09:00
103249,2024/07/08 09:00
103216,2024/07/08 09:00
102089,2024/07/08 09:00
103258,2024/07/08 09:00
102795,2024/07/08 09:00
102929,2024/07/08 09:00
103133,2024/07/08 09:00
102874,2024/07/08 09:00
103168,2024/07/08 09:00
103260,2024/07/08 09:00
103283,2024/07/08 09:00
103282,2024/07/08 09:00
103424,2024/07/08 09:00
103431,2024/07/08 09:00
103385,2024/07/08 09:00
102657,2024/07/08 09:00
102588,2024/07/08 09:00
102989,2024/07/08 09:00
102983,2024/07/08 09:00
102802,2024/07/08 09:00
103122,2024/07/08 09:00
103316,2024/07/08 09:00
103180,2024/07/08 09:00
103414,2024/07/08 09:00
103600,2024/07/08 09:00
102446,2024/07/08 09:00
102719,2024/07/08 09:00
103589,2024/07/08 09:00
103583,2024/07/08 09:00
103585,2024/07/08 09:00
103563,2024/07/08 09:00
103467,2024/07/08 09:00
103507,2024/07/08 09:00
103312,2024/07/08 09:00
103319,2024/07/08 09:00
103612,2024/07/08 09:00
103396,2024/07/08 09:00
102262,2024/07/08 09:00
102807,2024/07/08 09:00
103256,2024/07/08 09:00
103086,2024/07/08 09:00
102841,2024/07/08 09:00
102897,2024/07/08 09:00
103224,2024/07/08 09:00
102529,2024/07/08 09:00
103121,2024/07/08 09:00
102776,2024/07/08 09:00
103147,2024/07/08 09:00
102859,2024/07/08 09:00
103403,2024/07/08 09:00
103093,2024/07/08 09:00
103204,2024/07/08 09:00
102734,2024/07/08 09:00
103460,2024/07/08 09:00
103353,2024/07/08 09:00
103277,2024/07/08 09:00
102582,2024/07/08 09:00
103257,2024/07/08 09:00
103389,2024/07/08 09:00
102739,2024/07/08 09:00
102655,2024/07/08 09:00
103083,2024/07/08 09:00
102628,2024/07/08 09:00
100767,2024/07/08 09:00
103624,2024/07/08 09:00
102676,2024/07/08 09:00
102729,2024/07/08 09:00
102815,2024/07/08 09:00
103468,2024/07/08 09:00
102545,2024/07/08 09:00
103428,2024/07/08 09:00
103466,2024/07/08 09:00
102913,2024/07/08 09:00
103153,2024/07/08 09:00
103229,2024/07/08 09:00
103511,2024/07/08 09:00
102646,2024/07/08 09:00
102906,2024/07/08 09:00
102956,2024/07/08 09:00
103436,2024/07/08 09:00
103309,2024/07/08 09:00
102998,2024/07/08 09:00
102843,2024/07/08 09:00
103308,2024/07/08 09:00
103129,2024/07/08 09:00
103551,2024/07/08 09:00
102833,2024/07/08 09:00
102963,2024/07/08 09:00
103492,2024/07/08 09:00
103546,2024/07/08 09:00
102585,2024/07/08 09:00
103553,2024/07/08 09:00
102673,2024/07/08 09:00
103529,2024/07/08 09:00
103422,2024/07/08 09:00
103560,2024/07/08 09:00
103471,2024/07/08 09:00
103292,2024/07/08 09:00
103255,2024/07/08 09:00
102974,2024/07/08 09:00
103580,2024/07/08 09:00
103571,2024/07/08 09:00
103172,2024/07/08 09:00
102555,2024/07/08 09:00
103261,2024/07/08 09:00
103569,2024/07/08 09:00
101632,2024/07/08 09:00
103447,2024/07/08 09:00
102873,2024/07/08 09:00
102830,2024/07/08 09:00
103628,2024/07/08 09:00
102693,2024/07/08 09:00
102662,2024/07/08 09:00
103040,2024/07/08 09:00
103047,2024/07/08 09:00
103060,2024/07/08 09:00
102721,2024/07/08 09:00
102647,2024/07/08 09:00
103081,2024/07/08 09:00
