ficha,fechaYHoraInicio
010003,2024/07/08 20:00
010004,2024/07/08 20:00
010005,2024/07/08 20:00
010006,2024/07/08 20:00
010008,2024/07/08 20:00
010009,2024/07/08 20:00
010010,2024/07/08 20:00
010011,2024/07/08 20:00
010012,2024/07/08 20:00
010013,2024/07/08 20:00
010014,2024/07/08 20:00
010015,2024/07/08 20:00
010016,2024/07/08 20:00
010017,2024/07/08 20:00
010018,2024/07/08 20:00
010019,2024/07/08 20:00
010020,2024/07/08 20:00
010021,2024/07/08 20:00
010022,2024/07/08 20:00
010024,2024/07/08 20:00
010025,2024/07/08 20:00
010026,2024/07/08 20:00
010027,2024/07/08 20:00
010028,2024/07/08 20:00
010029,2024/07/08 20:00
010030,2024/07/08 20:00
010031,2024/07/08 20:00
010032,2024/07/08 20:00
010033,2024/07/08 20:00
010034,2024/07/08 20:00
010035,2024/07/08 20:00
010036,2024/07/08 20:00
010037,2024/07/08 20:00
010038,2024/07/08 20:00
010039,2024/07/08 20:00
010040,2024/07/08 20:00
010041,2024/07/08 20:00
010042,2024/07/08 20:00
010043,2024/07/08 20:00
010044,2024/07/08 20:00
010046,2024/07/08 20:00
010047,2024/07/08 20:00
010048,2024/07/08 20:00
010049,2024/07/08 20:00
010050,2024/07/08 20:00
010051,2024/07/08 20:00
010052,2024/07/08 20:00
010053,2024/07/08 20:00
010054,2024/07/08 20:00
010056,2024/07/08 20:00
010057,2024/07/08 20:00
010058,2024/07/08 20:00
010059,2024/07/08 20:00
010060,2024/07/08 20:00
010061,2024/07/08 20:00
010063,2024/07/08 20:00
010064,2024/07/08 20:00
010066,2024/07/08 20:00
010067,2024/07/08 20:00
010068,2024/07/08 20:00
010069,2024/07/08 20:00
010070,2024/07/08 20:00
010071,2024/07/08 20:00
010072,2024/07/08 20:00
010073,2024/07/08 20:00
010074,2024/07/08 20:00
010075,2024/07/08 20:00
010076,2024/07/08 20:00
010077,2024/07/08 20:00
010078,2024/07/08 20:00
010079,2024/07/08 20:00
010080,2024/07/08 20:00
010081,2024/07/08 20:00
010082,2024/07/08 20:00
010083,2024/07/08 20:00
010084,2024/07/08 20:00
010085,2024/07/08 20:00
010086,2024/07/08 20:00
010087,2024/07/08 20:00
010088,2024/07/08 20:00
010089,2024/07/08 20:00
100900,2024/07/08 20:00
122580,2024/07/08 20:00
010091,2024/07/08 20:00
010092,2024/07/08 20:00
010093,2024/07/08 20:00
010094,2024/07/08 20:00
010095,2024/07/08 20:00
010096,2024/07/08 20:00
010097,2024/07/08 20:00
010098,2024/07/08 20:00
010099,2024/07/08 20:00
010100,2024/07/08 20:00
010101,2024/07/08 20:00
010102,2024/07/08 20:00
010104,2024/07/08 20:00
010105,2024/07/08 20:00
010106,2024/07/08 20:00
010107,2024/07/08 20:00
010108,2024/07/08 20:00
010109,2024/07/08 20:00
010110,2024/07/08 20:00
010111,2024/07/08 20:00
010112,2024/07/08 20:00
010113,2024/07/08 20:00
010114,2024/07/08 20:00
010115,2024/07/08 20:00
010116,2024/07/08 20:00
010117,2024/07/08 20:00
010118,2024/07/08 20:00
010119,2024/07/08 20:00
010121,2024/07/08 20:00
010122,2024/07/08 20:00
010123,2024/07/08 20:00
010124,2024/07/08 20:00
010125,2024/07/08 20:00
010126,2024/07/08 20:00
010127,2024/07/08 20:00
020251,2024/07/08 20:00
020253,2024/07/08 20:00
020254,2024/07/08 20:00
020255,2024/07/08 20:00
020256,2024/07/08 20:00
020257,2024/07/08 20:00
020258,2024/07/08 20:00
020259,2024/07/08 20:00
020261,2024/07/08 20:00
020262,2024/07/08 20:00
020263,2024/07/08 20:00
020264,2024/07/08 20:00
020265,2024/07/08 20:00
020266,2024/07/08 20:00
020267,2024/07/08 20:00
020268,2024/07/08 20:00
020269,2024/07/08 20:00
020270,2024/07/08 20:00
020271,2024/07/08 20:00
020272,2024/07/08 20:00
020274,2024/07/08 20:00
020275,2024/07/08 20:00
020276,2024/07/08 20:00
020277,2024/07/08 20:00
020279,2024/07/08 20:00
020280,2024/07/08 20:00
030302,2024/07/08 20:00
