ficha,fechaYHoraInicio
52,2024/07/12 09:00
146,2024/07/12 09:00
79,2024/07/12 09:00
140,2024/07/12 09:00
131,2024/07/12 09:00
33,2024/07/12 09:00
65,2024/07/12 09:00
48,2024/07/12 09:00
130,2024/07/12 09:00
102,2024/07/12 09:00
141,2024/07/12 09:00
71,2024/07/12 09:00
32,2024/07/12 09:00
116,2024/07/12 09:00
211,2024/07/12 09:00
20,2024/07/12 09:00
215,2024/07/12 09:00
93,2024/07/12 09:00
81,2024/07/12 09:00
114,2024/07/12 09:00
68,2024/07/12 09:00
132,2024/07/12 09:00
56,2024/07/12 09:00
66,2024/07/12 09:00
100,2024/07/12 09:00
59,2024/07/12 09:00
31,2024/07/12 09:00
82,2024/07/12 09:00
42,2024/07/12 09:00
80,2024/07/12 09:00
50,2024/07/12 09:00
57,2024/07/12 09:00
115,2024/07/12 09:00
135,2024/07/12 09:00
120,2024/07/12 09:00
169,2024/07/12 09:00
13,2024/07/12 09:00
53,2024/07/12 09:00
94,2024/07/12 09:00
194,2024/07/12 09:00
77,2024/07/12 09:00
196,2024/07/12 09:00
8,2024/07/12 09:00
206,2024/07/12 09:00
128,2024/07/12 09:00
87,2024/07/12 09:00
119,2024/07/12 09:00
30,2024/07/12 09:00
108,2024/07/12 09:00
51,2024/07/12 09:00
127,2024/07/12 09:00
44,2024/07/12 09:00
90,2024/07/12 09:00
138,2024/07/12 09:00
110,2024/07/12 09:00
111,2024/07/12 09:00
124,2024/07/12 09:00
45,2024/07/12 09:00
105,2024/07/12 09:00
29,2024/07/12 09:00
173,2024/07/12 09:00
73,2024/07/12 09:00
64,2024/07/12 09:00
171,2024/07/12 09:00
74,2024/07/12 09:00
125,2024/07/12 09:00
46,2024/07/12 09:00
160,2024/07/12 09:00
58,2024/07/12 09:00
98,2024/07/12 09:00
101,2024/07/12 09:00
36,2024/07/12 09:00
207,2024/07/12 09:00
148,2024/07/12 09:00
121,2024/07/12 09:00
122,2024/07/12 09:00
113,2024/07/12 09:00
55,2024/07/12 09:00
210,2024/07/12 09:00
43,2024/07/12 09:00
156,2024/07/12 09:00
91,2024/07/12 09:00
28,2024/07/12 09:00
139,2024/07/12 09:00
96,2024/07/12 09:00
7,2024/07/12 09:00
84,2024/07/12 09:00
106,2024/07/12 09:00
92,2024/07/12 09:00
103,2024/07/12 09:00
212,2024/07/12 09:00
78,2024/07/12 09:00
47,2024/07/12 09:00
159,2024/07/12 09:00
183,2024/07/12 09:00
85,2024/07/12 09:00
95,2024/07/12 09:00
97,2024/07/12 09:00
107,2024/07/12 09:00
104,2024/07/12 09:00
137,2024/07/12 09:00
67,2024/07/12 09:00
88,2024/07/12 09:00
195,2024/07/12 12:00
63,2024/07/12 12:00
179,2024/07/12 12:00
26,2024/07/12 12:00
191,2024/07/12 12:00
70,2024/07/12 12:00
154,2024/07/12 12:00
182,2024/07/12 12:00
86,2024/07/12 12:00
181,2024/07/12 12:00
25,2024/07/12 12:00
172,2024/07/12 12:00
22,2024/07/12 12:00
83,2024/07/12 12:00
180,2024/07/12 12:00
170,2024/07/12 12:00
199,2024/07/12 12:00
205,2024/07/12 12:00
213,2024/07/12 12:00
200,2024/07/12 12:00
192,2024/07/12 12:00
19,2024/07/12 12:00
184,2024/07/12 12:00
168,2024/07/12 12:00
177,2024/07/12 12:00
189,2024/07/12 12:00
198,2024/07/12 12:00
202,2024/07/12 12:00
193,2024/07/12 12:00
89,2024/07/12 12:00
167,2024/07/12 12:00
209,2024/07/12 12:00
187,2024/07/12 12:00
188,2024/07/12 12:00
109,2024/07/12 12:00
174,2024/07/12 12:00
34,2024/07/12 12:00
17,2024/07/12 12:00
201,2024/07/12 12:00
190,2024/07/12 12:00
176,2024/07/12 12:00
72,2024/07/12 12:00
6,2024/07/12 12:00
186,2024/07/12 12:00
117,2024/07/12 12:00
175,2024/07/12 12:00
27,2024/07/12 12:00
197,2024/07/12 12:00
4,2024/07/12 12:00
2,2024/07/12 12:00
