ficha,fechaYHoraInicio
F04462024,2024/07/12 09:00
F00762024,2024/07/12 09:00
F05352024,2024/07/12 09:00
F00692024,2024/07/12 09:00
F00402024,2024/07/12 09:00
F02902024,2024/07/12 09:00
F05022024,2024/07/12 09:00
F03472024,2024/07/12 09:00
F05492024,2024/07/12 09:00
F10312024,2024/07/12 09:00
F04802024,2024/07/12 09:00
F01142024,2024/07/12 09:00
F01182024,2024/07/12 09:00
F05132024,2024/07/12 09:00
F05732024,2024/07/12 09:00
F05602024,2024/07/12 09:00
F11622024,2024/07/12 09:00
F04562024,2024/07/12 09:00
F02332024,2024/07/12 09:00
F05232024,2024/07/12 09:00
F05202024,2024/07/12 09:00
F01562024,2024/07/12 09:00
F03512024,2024/07/12 09:00
F01972024,2024/07/12 09:00
F05842024,2024/07/12 09:00
F03732024,2024/07/12 09:00
F02382024,2024/07/12 09:00
F04392024,2024/07/12 09:00
F04692024,2024/07/12 09:00
F03752024,2024/07/12 09:00
F05472024,2024/07/12 09:00
F05212024,2024/07/12 09:00
F01522024,2024/07/12 09:00
F02162024,2024/07/12 09:00
F01132024,2024/07/12 09:00
F12472024,2024/07/12 09:00
F12492024,2024/07/12 09:00
F12482024,2024/07/12 09:00
F01722024,2024/07/12 09:00
