ficha,fechaYHoraInicio
24ISC405 ,2024/07/13 08:00
24ISC377 ,2024/07/13 08:00
24ISC344 ,2024/07/13 08:00
24ISC404 ,2024/07/13 08:00
24ISC305 ,2024/07/13 08:00
24ISC403 ,2024/07/13 08:00
24ISC169 ,2024/07/13 08:00
24ISC168 ,2024/07/13 08:00
24ISC192 ,2024/07/13 08:00
24ISC098 ,2024/07/13 08:00
24ISC148 ,2024/07/13 08:00
24ISC191 ,2024/07/13 08:00
24ISC190 ,2024/07/13 08:00
24ISC097 ,2024/07/13 08:00
24ISC189 ,2024/07/13 08:00
24ISC147 ,2024/07/13 08:00
24ISC136 ,2024/07/13 08:00
24ISC135 ,2024/07/13 08:00
24ISC262 ,2024/07/13 08:00
24ISC096 ,2024/07/13 08:00
24ISC095 ,2024/07/13 08:00
24ISC134 ,2024/07/13 08:00
24ISC094 ,2024/07/13 08:00
