ficha,fechaYHoraInicio
1931,2024/07/15 08:00
1920,2024/07/15 08:00
1911,2024/07/15 08:00
1906,2024/07/15 08:00
1901,2024/07/15 08:00
1899,2024/07/15 08:00
1890,2024/07/15 08:00
1880,2024/07/15 08:00
1879,2024/07/15 08:00
1876,2024/07/15 08:00
1872,2024/07/15 08:00
1871,2024/07/15 08:00
1866,2024/07/15 08:00
1865,2024/07/15 08:00
1861,2024/07/15 08:00
1859,2024/07/15 08:00
1853,2024/07/15 08:00
1809,2024/07/15 08:00
1807,2024/07/15 08:00
1605,2024/07/15 08:00
1936,2024/07/15 08:00
1935,2024/07/15 08:00
1934,2024/07/15 08:00
1926,2024/07/15 08:00
1924,2024/07/15 08:00
1921,2024/07/15 08:00
1919,2024/07/15 08:00
1916,2024/07/15 08:00
1913,2024/07/15 08:00
1909,2024/07/15 08:00
1905,2024/07/15 08:00
1904,2024/07/15 08:00
1903,2024/07/15 08:00
1902,2024/07/15 08:00
1898,2024/07/15 08:00
1891,2024/07/15 08:00
1889,2024/07/15 08:00
1875,2024/07/15 08:00
1864,2024/07/15 08:00
1860,2024/07/15 08:00
1857,2024/07/15 08:00
1801,2024/07/15 08:00
1758,2024/07/15 08:00
1690,2024/07/15 08:00
1679,2024/07/15 08:00
1661,2024/07/15 08:00
1893,2024/07/15 08:00
1888,2024/07/15 08:00
1877,2024/07/15 08:00
1873,2024/07/15 08:00
