ficha,fechaYHoraInicio
1241,2024/07/16 10:00
1240,2024/07/16 10:00
1239,2024/07/16 10:00
1238,2024/07/16 10:00
1237,2024/07/16 10:00
1235,2024/07/16 10:00
1234,2024/07/16 10:00
1231,2024/07/16 10:00
1229,2024/07/16 10:00
1228,2024/07/16 10:00
1226,2024/07/16 10:00
1225,2024/07/16 10:00
1224,2024/07/16 10:00
1223,2024/07/16 10:00
1221,2024/07/16 10:00
1220,2024/07/16 10:00
1219,2024/07/16 10:00
1218,2024/07/16 10:00
1217,2024/07/16 10:00
1216,2024/07/16 10:00
1215,2024/07/16 10:00
1214,2024/07/16 10:00
1213,2024/07/16 10:00
1212,2024/07/16 10:00
1211,2024/07/16 10:00
1210,2024/07/16 10:00
1209,2024/07/16 10:00
1208,2024/07/16 10:00
1207,2024/07/16 10:00
1206,2024/07/16 10:00
1205,2024/07/16 10:00
1204,2024/07/16 10:00
1203,2024/07/16 10:00
1202,2024/07/16 10:00
1201,2024/07/16 10:00
1200,2024/07/16 10:00
1198,2024/07/16 10:00
1196,2024/07/16 10:00
1194,2024/07/16 10:00
1192,2024/07/16 10:00
1190,2024/07/16 10:00
1189,2024/07/16 10:00
1188,2024/07/16 10:00
1187,2024/07/16 10:00
1185,2024/07/16 10:00
1184,2024/07/16 10:00
1183,2024/07/16 10:00
1182,2024/07/16 10:00
1181,2024/07/16 10:00
1178,2024/07/16 10:00
1177,2024/07/16 10:00
1176,2024/07/16 10:00
1175,2024/07/16 10:00
1174,2024/07/16 10:00
1173,2024/07/16 10:00
1171,2024/07/16 10:00
1170,2024/07/16 10:00
1169,2024/07/16 10:00
1168,2024/07/16 10:00
1167,2024/07/16 10:00
1165,2024/07/16 10:00
1164,2024/07/16 10:00
1163,2024/07/16 10:00
1162,2024/07/16 10:00
1161,2024/07/16 10:00
1160,2024/07/16 10:00
1159,2024/07/16 10:00
1158,2024/07/16 10:00
1157,2024/07/16 10:00
1156,2024/07/16 10:00
1155,2024/07/16 10:00
1154,2024/07/16 10:00
1152,2024/07/16 10:00
1147,2024/07/16 10:00
1145,2024/07/16 10:00
1144,2024/07/16 10:00
1142,2024/07/16 10:00
1140,2024/07/16 10:00
1139,2024/07/16 10:00
1138,2024/07/16 10:00
1136,2024/07/16 10:00
1135,2024/07/16 10:00
1134,2024/07/16 10:00
1133,2024/07/16 10:00
1131,2024/07/16 10:00
1130,2024/07/16 10:00
1129,2024/07/16 10:00
1128,2024/07/16 10:00
1127,2024/07/16 10:00
1126,2024/07/16 10:00
1125,2024/07/16 10:00
1124,2024/07/16 10:00
1123,2024/07/16 10:00
1121,2024/07/16 10:00
1120,2024/07/16 10:00
1119,2024/07/16 10:00
1117,2024/07/16 10:00
1116,2024/07/16 10:00
1115,2024/07/16 10:00
1114,2024/07/16 10:00
1113,2024/07/16 10:00
1111,2024/07/16 10:00
1110,2024/07/16 10:00
1109,2024/07/16 10:00
1108,2024/07/16 10:00
1105,2024/07/16 10:00
1104,2024/07/16 10:00
1102,2024/07/16 10:00
1101,2024/07/16 10:00
1100,2024/07/16 10:00
1098,2024/07/16 10:00
1097,2024/07/16 10:00
1096,2024/07/16 10:00
1095,2024/07/16 10:00
1094,2024/07/16 10:00
1093,2024/07/16 10:00
1092,2024/07/16 10:00
1091,2024/07/16 10:00
1090,2024/07/16 10:00
1089,2024/07/16 10:00
1087,2024/07/16 10:00
1085,2024/07/16 10:00
1084,2024/07/16 10:00
1082,2024/07/16 10:00
1081,2024/07/16 10:00
1080,2024/07/16 10:00
1079,2024/07/16 10:00
1078,2024/07/16 10:00
1077,2024/07/16 10:00
1076,2024/07/16 10:00
1075,2024/07/16 10:00
1074,2024/07/16 10:00
1072,2024/07/16 10:00
1071,2024/07/16 10:00
1070,2024/07/16 10:00
1068,2024/07/16 10:00
1067,2024/07/16 10:00
1066,2024/07/16 10:00
1065,2024/07/16 10:00
1064,2024/07/16 10:00
1063,2024/07/16 10:00
1062,2024/07/16 10:00
1061,2024/07/16 10:00
1060,2024/07/16 10:00
1054,2024/07/16 10:00
1053,2024/07/16 10:00
1051,2024/07/16 10:00
1050,2024/07/16 10:00
1049,2024/07/16 10:00
1046,2024/07/16 10:00
1045,2024/07/16 10:00
1044,2024/07/16 10:00
1043,2024/07/16 10:00
1042,2024/07/16 10:00
1041,2024/07/16 10:00
1040,2024/07/16 10:00
1039,2024/07/16 10:00
1038,2024/07/16 10:00
1036,2024/07/16 10:00
1029,2024/07/16 10:00
1028,2024/07/16 10:00
1027,2024/07/16 10:00
1026,2024/07/16 10:00
1023,2024/07/16 10:00
1022,2024/07/16 10:00
1021,2024/07/16 10:00
1020,2024/07/16 10:00
1019,2024/07/16 10:00
1018,2024/07/16 10:00
1017,2024/07/16 10:00
1016,2024/07/16 10:00
1014,2024/07/16 10:00
1013,2024/07/16 10:00
1012,2024/07/16 10:00
1011,2024/07/16 10:00
1010,2024/07/16 10:00
1009,2024/07/16 10:00
1008,2024/07/16 10:00
1005,2024/07/16 10:00
1004,2024/07/16 10:00
1003,2024/07/16 10:00
1002,2024/07/16 10:00
1001,2024/07/16 10:00
1000,2024/07/16 10:00
999,2024/07/16 10:00
997,2024/07/16 10:00
995,2024/07/16 10:00
994,2024/07/16 10:00
993,2024/07/16 10:00
991,2024/07/16 10:00
990,2024/07/16 10:00
989,2024/07/16 10:00
986,2024/07/16 10:00
985,2024/07/16 10:00
984,2024/07/16 10:00
983,2024/07/16 10:00
982,2024/07/16 10:00
981,2024/07/16 10:00
979,2024/07/16 10:00
978,2024/07/16 10:00
977,2024/07/16 10:00
976,2024/07/16 10:00
975,2024/07/16 10:00
974,2024/07/16 10:00
973,2024/07/16 10:00
972,2024/07/16 10:00
971,2024/07/16 10:00
970,2024/07/16 10:00
969,2024/07/16 10:00
968,2024/07/16 10:00
967,2024/07/16 10:00
966,2024/07/16 10:00
965,2024/07/16 10:00
964,2024/07/16 10:00
963,2024/07/16 10:00
962,2024/07/16 10:00
961,2024/07/16 10:00
958,2024/07/16 10:00
957,2024/07/16 10:00
956,2024/07/16 10:00
955,2024/07/16 10:00
953,2024/07/16 10:00
952,2024/07/16 10:00
951,2024/07/16 10:00
950,2024/07/16 10:00
948,2024/07/16 10:00
946,2024/07/16 10:00
945,2024/07/16 10:00
944,2024/07/16 10:00
942,2024/07/16 10:00
939,2024/07/16 10:00
938,2024/07/16 10:00
937,2024/07/16 10:00
936,2024/07/16 10:00
935,2024/07/16 10:00
934,2024/07/16 10:00
933,2024/07/16 10:00
932,2024/07/16 10:00
931,2024/07/16 10:00
928,2024/07/16 10:00
927,2024/07/16 10:00
925,2024/07/16 10:00
924,2024/07/16 10:00
923,2024/07/16 10:00
921,2024/07/16 10:00
920,2024/07/16 10:00
919,2024/07/16 10:00
918,2024/07/16 10:00
917,2024/07/16 10:00
915,2024/07/16 10:00
913,2024/07/16 10:00
912,2024/07/16 10:00
911,2024/07/16 10:00
910,2024/07/16 10:00
908,2024/07/16 10:00
907,2024/07/16 10:00
905,2024/07/16 10:00
904,2024/07/16 10:00
903,2024/07/16 10:00
899,2024/07/16 10:00
898,2024/07/16 10:00
897,2024/07/16 10:00
896,2024/07/16 10:00
895,2024/07/16 10:00
894,2024/07/16 10:00
892,2024/07/16 10:00
891,2024/07/16 10:00
890,2024/07/16 10:00
889,2024/07/16 10:00
888,2024/07/16 10:00
885,2024/07/16 10:00
884,2024/07/16 10:00
883,2024/07/16 10:00
882,2024/07/16 10:00
881,2024/07/16 10:00
880,2024/07/16 10:00
879,2024/07/16 10:00
878,2024/07/16 10:00
877,2024/07/16 10:00
876,2024/07/16 10:00
875,2024/07/16 10:00
873,2024/07/16 10:00
872,2024/07/16 10:00
871,2024/07/16 10:00
869,2024/07/16 10:00
868,2024/07/16 10:00
867,2024/07/16 10:00
866,2024/07/16 10:00
865,2024/07/16 10:00
864,2024/07/16 10:00
863,2024/07/16 10:00
862,2024/07/16 10:00
861,2024/07/16 10:00
860,2024/07/16 10:00
859,2024/07/16 10:00
858,2024/07/16 10:00
857,2024/07/16 10:00
856,2024/07/16 10:00
854,2024/07/16 10:00
853,2024/07/16 10:00
852,2024/07/16 10:00
851,2024/07/16 10:00
850,2024/07/16 10:00
849,2024/07/16 10:00
848,2024/07/16 10:00
847,2024/07/16 10:00
846,2024/07/16 10:00
845,2024/07/16 10:00
844,2024/07/16 10:00
843,2024/07/16 10:00
842,2024/07/16 10:00
840,2024/07/16 10:00
839,2024/07/16 10:00
838,2024/07/16 10:00
837,2024/07/16 10:00
836,2024/07/16 10:00
835,2024/07/16 10:00
834,2024/07/16 10:00
833,2024/07/16 10:00
832,2024/07/16 10:00
831,2024/07/16 10:00
830,2024/07/16 10:00
829,2024/07/16 10:00
827,2024/07/16 10:00
826,2024/07/16 10:00
825,2024/07/16 10:00
824,2024/07/16 10:00
823,2024/07/16 10:00
822,2024/07/16 10:00
821,2024/07/16 10:00
820,2024/07/16 10:00
819,2024/07/16 10:00
818,2024/07/16 10:00
817,2024/07/16 10:00
816,2024/07/16 10:00
815,2024/07/16 10:00
814,2024/07/16 10:00
813,2024/07/16 10:00
811,2024/07/16 10:00
810,2024/07/16 10:00
809,2024/07/16 10:00
808,2024/07/16 10:00
807,2024/07/16 10:00
806,2024/07/16 10:00
805,2024/07/16 10:00
804,2024/07/16 10:00
802,2024/07/16 10:00
801,2024/07/16 10:00
799,2024/07/16 10:00
798,2024/07/16 10:00
797,2024/07/16 10:00
796,2024/07/16 10:00
795,2024/07/16 10:00
794,2024/07/16 10:00
793,2024/07/16 10:00
791,2024/07/16 10:00
790,2024/07/16 10:00
789,2024/07/16 10:00
788,2024/07/16 10:00
786,2024/07/16 10:00
785,2024/07/16 10:00
784,2024/07/16 10:00
783,2024/07/16 10:00
782,2024/07/16 10:00
781,2024/07/16 10:00
