ficha,fechaYHoraInicio
F0037,2024/07/17 09:00
F0050,2024/07/17 09:00
F0090,2024/07/17 09:00
F0093,2024/07/17 09:00
F0099,2024/07/17 09:00
F0119,2024/07/17 09:00
F0192,2024/07/17 09:00
F0225,2024/07/17 09:00
F0226,2024/07/17 09:00
F0238,2024/07/17 09:00
F0258,2024/07/17 09:00
F0282,2024/07/17 09:00
F0358,2024/07/17 09:00
F0381,2024/07/17 09:00
F0382,2024/07/17 09:00
F0399,2024/07/17 09:00
F0449,2024/07/17 09:00
F0494,2024/07/17 09:00
F0546,2024/07/17 09:00
F0586,2024/07/17 09:00
F0652,2024/07/17 09:00
F0672,2024/07/17 09:00
F0717,2024/07/17 09:00
F0722,2024/07/17 09:00
F001,2024/07/17 09:00
F0044,2024/07/17 09:00
F0053,2024/07/17 09:00
F0080,2024/07/17 09:00
F0083,2024/07/17 09:00
F0098,2024/07/17 09:00
F0117,2024/07/17 09:00
F0145,2024/07/17 09:00
F0156,2024/07/17 09:00
F0174,2024/07/17 09:00
F0178,2024/07/17 09:00
F0190,2024/07/17 09:00
F0194,2024/07/17 09:00
F0201,2024/07/17 09:00
F0236,2024/07/17 09:00
F0252,2024/07/17 09:00
F0271,2024/07/17 09:00
F0275,2024/07/17 09:00
F0298,2024/07/17 09:00
F0310,2024/07/17 09:00
F0317,2024/07/17 09:00
F0318,2024/07/17 09:00
F0329,2024/07/17 09:00
F0347,2024/07/17 09:00
F0352,2024/07/17 09:00
F0377,2024/07/17 09:00
F0378,2024/07/17 09:00
F0394,2024/07/17 09:00
F0424,2024/07/17 09:00
F0425,2024/07/17 09:00
F0435,2024/07/17 09:00
F0461,2024/07/17 09:00
F0488,2024/07/17 09:00
F0495,2024/07/17 09:00
F0505,2024/07/17 09:00
F0506,2024/07/17 09:00
F0519,2024/07/17 09:00
F0524,2024/07/17 09:00
F0548,2024/07/17 09:00
F0563,2024/07/17 09:00
F0568,2024/07/17 09:00
F0574,2024/07/17 09:00
F0580,2024/07/17 09:00
F0593,2024/07/17 09:00
F0595,2024/07/17 09:00
F0597,2024/07/17 09:00
F0600,2024/07/17 09:00
F0609,2024/07/17 09:00
F0618,2024/07/17 09:00
F0631,2024/07/17 09:00
F0633,2024/07/17 09:00
F0635,2024/07/17 09:00
F0657,2024/07/17 09:00
F0674,2024/07/17 09:00
F0675,2024/07/17 09:00
F0676,2024/07/17 09:00
F0681,2024/07/17 09:00
F0684,2024/07/17 09:00
F0686,2024/07/17 09:00
F0690,2024/07/17 09:00
F0695,2024/07/17 09:00
F0700,2024/07/17 09:00
F0706,2024/07/17 09:00
F0710,2024/07/17 09:00
F0720,2024/07/17 09:00
F0724,2024/07/17 09:00
F0726,2024/07/17 09:00
F0739,2024/07/17 09:00
F0741,2024/07/17 09:00
F0749,2024/07/17 09:00
F0750,2024/07/17 09:00
F0753,2024/07/17 09:00
F0758,2024/07/17 09:00
F0763,2024/07/17 09:00
F0766,2024/07/17 09:00
F0806,2024/07/17 09:00
F0808,2024/07/17 09:00
F0812,2024/07/17 09:00
F0820,2024/07/17 09:00
