ficha,fechaYHoraInicio
521760,2024/07/18 20:00
050801,2024/07/18 20:00
050802,2024/07/18 20:00
050803,2024/07/18 20:00
050804,2024/07/18 20:00
050805,2024/07/18 20:00
050806,2024/07/18 20:00
050807,2024/07/18 20:00
050808,2024/07/18 20:00
050809,2024/07/18 20:00
050810,2024/07/18 20:00
050811,2024/07/18 20:00
050812,2024/07/18 20:00
050813,2024/07/18 20:00
050814,2024/07/18 20:00
050815,2024/07/18 20:00
050816,2024/07/18 20:00
050817,2024/07/18 20:00
050818,2024/07/18 20:00
050819,2024/07/18 20:00
050820,2024/07/18 20:00
050821,2024/07/18 20:00
050822,2024/07/18 20:00
050823,2024/07/18 20:00
050824,2024/07/18 20:00
050825,2024/07/18 20:00
050826,2024/07/18 20:00
050827,2024/07/18 20:00
050828,2024/07/18 20:00
050829,2024/07/18 20:00
050830,2024/07/18 20:00
050831,2024/07/18 20:00
050832,2024/07/18 20:00
050833,2024/07/18 20:00
050834,2024/07/18 20:00
050835,2024/07/18 20:00
050836,2024/07/18 20:00
050837,2024/07/18 20:00
050838,2024/07/18 20:00
050839,2024/07/18 20:00
050840,2024/07/18 20:00
050841,2024/07/18 20:00
050842,2024/07/18 20:00
052151,2024/07/18 20:00
052152,2024/07/18 20:00
052153,2024/07/18 20:00
052154,2024/07/18 20:00
052155,2024/07/18 20:00
052156,2024/07/18 20:00
052157,2024/07/18 20:00
052158,2024/07/18 20:00
052159,2024/07/18 20:00
052160,2024/07/18 20:00
052161,2024/07/18 20:00
052162,2024/07/18 20:00
052163,2024/07/18 20:00
052164,2024/07/18 20:00
052165,2024/07/18 20:00
052166,2024/07/18 20:00
052167,2024/07/18 20:00
052168,2024/07/18 20:00
052169,2024/07/18 20:00
052170,2024/07/18 20:00
052171,2024/07/18 20:00
052172,2024/07/18 20:00
052173,2024/07/18 20:00
052174,2024/07/18 20:00
052175,2024/07/18 20:00
052177,2024/07/18 20:00
052178,2024/07/18 20:00
052179,2024/07/18 20:00
052180,2024/07/18 20:00
052181,2024/07/18 20:00
052183,2024/07/18 20:00
052184,2024/07/18 20:00
052185,2024/07/18 20:00
052186,2024/07/18 20:00
052187,2024/07/18 20:00
052188,2024/07/18 20:00
052401,2024/07/18 20:00
052402,2024/07/18 20:00
052403,2024/07/18 20:00
052404,2024/07/18 20:00
052176,2024/07/18 20:00
091602,2024/07/18 20:00
