ficha,fechaYHoraInicio
0201,2024/07/19 13:00
0204,2024/07/19 13:00
0208,2024/07/19 13:00
0226,2024/07/19 13:00
0230,2024/07/19 13:00
0234,2024/07/19 13:00
0240,2024/07/19 13:00
0243,2024/07/19 13:00
0244,2024/07/19 13:00
0245,2024/07/19 13:00
0250,2024/07/19 13:00
0253,2024/07/19 13:00
0255,2024/07/19 13:00
0256,2024/07/19 13:00
0258,2024/07/19 13:00
0272,2024/07/19 13:00
0273,2024/07/19 13:00
0274,2024/07/19 13:00
0280,2024/07/19 13:00
0281,2024/07/19 13:00
0283,2024/07/19 13:00
0284,2024/07/19 13:00
0301,2024/07/19 13:00
0306,2024/07/19 13:00
0308,2024/07/19 13:00
0315,2024/07/19 13:00
0317,2024/07/19 13:00
0326,2024/07/19 13:00
0329,2024/07/19 13:00
0330,2024/07/19 13:00
0331,2024/07/19 13:00
0336,2024/07/19 13:00
0337,2024/07/19 13:00
0338,2024/07/19 13:00
0341,2024/07/19 13:00
0345,2024/07/19 13:00
