ficha,fechaYHoraInicio
ITST24025,2024/07/19 09:00
ITST24028,2024/07/19 09:00
ITST24029,2024/07/19 09:00
ITST24030,2024/07/19 09:00
ITST24033,2024/07/19 09:00
ITST24034,2024/07/19 09:00
ITST24036,2024/07/19 09:00
ITST24038,2024/07/19 09:00
ITST24042,2024/07/19 09:00
ITST24044,2024/07/19 09:00
ITST24045,2024/07/19 09:00
ITST24049,2024/07/19 09:00
ITST24052,2024/07/19 09:00
ITST24053,2024/07/19 09:00
ITST24056,2024/07/19 09:00
ITST24062,2024/07/19 09:00
ITST24063,2024/07/19 09:00
ITST24064,2024/07/19 09:00
ITST24065,2024/07/19 09:00
ITST24067,2024/07/19 09:00
ITST24068,2024/07/19 09:00
ITST24069,2024/07/19 09:00
ITST24072,2024/07/19 09:00
