ficha,fechaYHoraInicio
000000,2024/07/19 17:00
000001,2024/07/19 17:00
000002,2024/07/19 17:00
000003,2024/07/19 17:00
000004,2024/07/19 17:00
000005,2024/07/19 17:00
000006,2024/07/19 17:00
000007,2024/07/19 17:00
000008,2024/07/19 17:00
000009,2024/07/19 17:00
000010,2024/07/19 17:00
000011,2024/07/19 17:00
000012,2024/07/19 17:00
000013,2024/07/19 17:00
000014,2024/07/19 17:00
000015,2024/07/19 17:00
000016,2024/07/19 17:00
000017,2024/07/19 17:00
000018,2024/07/19 17:00
000019,2024/07/19 17:00
000020,2024/07/19 17:00
000021,2024/07/19 17:00
000022,2024/07/19 17:00
000023,2024/07/19 17:00
000024,2024/07/19 17:00
000025,2024/07/19 17:00
000026,2024/07/19 17:00
000027,2024/07/19 17:00
000028,2024/07/19 17:00
000029,2024/07/19 17:00
000030,2024/07/19 17:00
000031,2024/07/19 17:00
000032,2024/07/19 17:00
000033,2024/07/19 17:00
000034,2024/07/19 17:00
000035,2024/07/19 17:00
000036,2024/07/19 17:00
000037,2024/07/19 17:00
000038,2024/07/19 17:00
000039,2024/07/19 17:00
000040,2024/07/19 17:00
000041,2024/07/19 17:00
000042,2024/07/19 17:00
000043,2024/07/19 17:00
000044,2024/07/19 17:00
000045,2024/07/19 17:00
000046,2024/07/19 17:00
000047,2024/07/19 17:00
000048,2024/07/19 17:00
000049,2024/07/19 17:00
000050,2024/07/19 17:00
000051,2024/07/19 17:00
000052,2024/07/19 17:00
000053,2024/07/19 17:00
000054,2024/07/19 17:00
000055,2024/07/19 17:00
000056,2024/07/19 17:00
000057,2024/07/19 17:00
000058,2024/07/19 17:00
000059,2024/07/19 17:00
000060,2024/07/19 17:00
000061,2024/07/19 17:00
000062,2024/07/19 17:00
000063,2024/07/19 17:00
000064,2024/07/19 17:00
000065,2024/07/19 17:00
000066,2024/07/19 17:00
000067,2024/07/19 17:00
000068,2024/07/19 17:00
000069,2024/07/19 17:00
000070,2024/07/19 17:00
000071,2024/07/19 17:00
000072,2024/07/19 17:00
000073,2024/07/19 17:00
000074,2024/07/19 17:00
000075,2024/07/19 17:00
000076,2024/07/19 17:00
000077,2024/07/19 17:00
000078,2024/07/19 17:00
000079,2024/07/19 17:00
000080,2024/07/19 17:00
000081,2024/07/19 17:00
000082,2024/07/19 17:00
000083,2024/07/19 17:00
000084,2024/07/19 17:00
000085,2024/07/19 17:00
000086,2024/07/19 17:00
000087,2024/07/19 17:00
000088,2024/07/19 17:00
000089,2024/07/19 17:00
000090,2024/07/19 17:00
000091,2024/07/19 17:00
000092,2024/07/19 17:00
000093,2024/07/19 17:00
000094,2024/07/19 17:00
000095,2024/07/19 17:00
000096,2024/07/19 17:00
000097,2024/07/19 17:00
000098,2024/07/19 17:00
000099,2024/07/19 17:00
000100,2024/07/19 17:00
000101,2024/07/19 17:00
000102,2024/07/19 17:00
000103,2024/07/19 17:00
000104,2024/07/19 17:00
000105,2024/07/19 17:00
000106,2024/07/19 17:00
000107,2024/07/19 17:00
000108,2024/07/19 17:00
000109,2024/07/19 17:00
000110,2024/07/19 17:00
000111,2024/07/19 17:00
000112,2024/07/19 17:00
000113,2024/07/19 17:00
000114,2024/07/19 17:00
000115,2024/07/19 17:00
000116,2024/07/19 17:00
000117,2024/07/19 17:00
000118,2024/07/19 17:00
000119,2024/07/19 17:00
000120,2024/07/19 17:00
000121,2024/07/19 17:00
000122,2024/07/19 17:00
000123,2024/07/19 17:00
000124,2024/07/19 17:00
000125,2024/07/19 17:00
000126,2024/07/19 17:00
000127,2024/07/19 17:00
000128,2024/07/19 17:00
000129,2024/07/19 17:00
000130,2024/07/19 17:00
000131,2024/07/19 17:00
000132,2024/07/19 17:00
000133,2024/07/19 17:00
000134,2024/07/19 17:00
000135,2024/07/19 17:00
000136,2024/07/19 17:00
000137,2024/07/19 17:00
000138,2024/07/19 17:00
000139,2024/07/19 17:00
000140,2024/07/19 17:00
000141,2024/07/19 17:00
000142,2024/07/19 17:00
000143,2024/07/19 17:00
000144,2024/07/19 17:00
000145,2024/07/19 17:00
000146,2024/07/19 17:00
000147,2024/07/19 17:00
000148,2024/07/19 17:00
000149,2024/07/19 17:00
000150,2024/07/19 17:00
000151,2024/07/19 17:00
000152,2024/07/19 17:00
000153,2024/07/19 17:00
000154,2024/07/19 17:00
000155,2024/07/19 17:00
000156,2024/07/19 17:00
000157,2024/07/19 17:00
