ficha,fechaYHoraInicio
41,2024/07/26 13:00
42,2024/07/26 13:00
48,2024/07/26 13:00
50,2024/07/26 13:00
51,2024/07/26 13:00
54,2024/07/26 13:00
56,2024/07/26 13:00
59,2024/07/26 13:00
62,2024/07/26 13:00
63,2024/07/26 13:00
67,2024/07/26 13:00
70,2024/07/26 13:00
71,2024/07/26 13:00
72,2024/07/26 13:00
75,2024/07/26 13:00
77,2024/07/26 13:00
6,2024/07/26 09:00
7,2024/07/26 09:00
8,2024/07/26 09:00
9,2024/07/26 09:00
11,2024/07/26 09:00
16,2024/07/26 09:00
20,2024/07/26 09:00
25,2024/07/26 09:00
36,2024/07/26 09:00
