ficha,fechaYHoraInicio
28,2024/07/27 08:00
36,2024/07/27 08:00
48,2024/07/27 08:00
50,2024/07/27 08:00
62,2024/07/27 08:00
64,2024/07/27 08:00
76,2024/07/27 08:00
77,2024/07/27 08:00
78,2024/07/27 08:00
88,2024/07/27 08:00
94,2024/07/27 08:00
122,2024/07/27 08:00
147,2024/07/27 08:00
148,2024/07/27 08:00
177,2024/07/27 08:00
209,2024/07/27 08:00
217,2024/07/27 08:00
226,2024/07/27 08:00
228,2024/07/27 08:00
229,2024/07/27 08:00
232,2024/07/27 08:00
274,2024/07/27 08:00
292,2024/07/27 08:00
304,2024/07/27 08:00
310,2024/07/27 08:00
349,2024/07/27 08:00
345,2024/07/27 08:00
413,2024/07/27 08:00
410,2024/07/27 08:00
411,2024/07/27 08:00
408,2024/07/27 08:00
