ficha,fechaYHoraInicio
38,2024/07/27 08:00
41,2024/07/27 08:00
102,2024/07/27 08:00
112,2024/07/27 08:00
245,2024/07/27 08:00
265,2024/07/27 08:00
419,2024/07/27 08:00
376,2024/07/27 10:30
24,2024/07/27 10:30
32,2024/07/27 10:30
86,2024/07/27 10:30
89,2024/07/27 10:30
98,2024/07/27 10:30
118,2024/07/27 10:30
156,2024/07/27 10:30
157,2024/07/27 10:30
160,2024/07/27 10:30
193,2024/07/27 10:30
196,2024/07/27 10:30
202,2024/07/27 10:30
204,2024/07/27 10:30
220,2024/07/27 10:30
255,2024/07/27 10:30
269,2024/07/27 10:30
273,2024/07/27 10:30
321,2024/07/27 10:30
327,2024/07/27 10:30
51,2024/07/27 10:30
244,2024/07/27 10:30
354,2024/07/27 10:30
352,2024/07/27 10:30
363,2024/07/27 10:30
373,2024/07/27 10:30
401,2024/07/27 10:30
397,2024/07/27 10:30
406,2024/07/27 10:30
404,2024/07/27 10:30
146,2024/07/27 10:30
188,2024/07/27 10:30
242,2024/07/27 10:30
415,2024/07/27 10:30
144,2024/07/27 10:30
440,2024/07/27 10:30
432,2024/07/27 10:30
25,2024/07/27 10:30
54,2024/07/27 10:30
58,2024/07/27 10:30
68,2024/07/27 10:30
71,2024/07/27 10:30
79,2024/07/27 10:30
99,2024/07/27 10:30
101,2024/07/27 10:30
115,2024/07/27 10:30
131,2024/07/27 10:30
149,2024/07/27 10:30
151,2024/07/27 10:30
162,2024/07/27 10:30
163,2024/07/27 10:30
169,2024/07/27 10:30
173,2024/07/27 10:30
178,2024/07/27 10:30
179,2024/07/27 10:30
180,2024/07/27 10:30
181,2024/07/27 10:30
195,2024/07/27 10:30
201,2024/07/27 10:30
210,2024/07/27 10:30
211,2024/07/27 10:30
237,2024/07/27 10:30
239,2024/07/27 10:30
250,2024/07/27 10:30
260,2024/07/27 10:30
262,2024/07/27 10:30
275,2024/07/27 10:30
278,2024/07/27 10:30
282,2024/07/27 10:30
283,2024/07/27 10:30
285,2024/07/27 10:30
286,2024/07/27 10:30
293,2024/07/27 10:30
300,2024/07/27 10:30
308,2024/07/27 10:30
329,2024/07/27 10:30
258,2024/07/27 10:30
353,2024/07/27 10:30
370,2024/07/27 10:30
377,2024/07/27 10:30
388,2024/07/27 10:30
198,2024/07/27 10:30
399,2024/07/27 10:30
219,2024/07/27 10:30
405,2024/07/27 10:30
364,2024/07/27 10:30
417,2024/07/27 10:30
426,2024/07/27 10:30
428,2024/07/27 10:30
125,2024/07/27 10:30
434,2024/07/27 10:30
23,2024/07/27 10:30
107,2024/07/27 10:30
6,2024/07/27 13:00
14,2024/07/27 13:00
15,2024/07/27 13:00
26,2024/07/27 13:00
37,2024/07/27 13:00
40,2024/07/27 13:00
45,2024/07/27 13:00
52,2024/07/27 13:00
53,2024/07/27 13:00
56,2024/07/27 13:00
63,2024/07/27 13:00
65,2024/07/27 13:00
70,2024/07/27 13:00
83,2024/07/27 13:00
91,2024/07/27 13:00
93,2024/07/27 13:00
105,2024/07/27 13:00
106,2024/07/27 13:00
109,2024/07/27 13:00
120,2024/07/27 13:00
126,2024/07/27 13:00
128,2024/07/27 13:00
130,2024/07/27 13:00
133,2024/07/27 13:00
140,2024/07/27 13:00
150,2024/07/27 13:00
153,2024/07/27 13:00
155,2024/07/27 13:00
161,2024/07/27 13:00
164,2024/07/27 13:00
176,2024/07/27 13:00
182,2024/07/27 13:00
191,2024/07/27 13:00
194,2024/07/27 13:00
213,2024/07/27 13:00
221,2024/07/27 13:00
233,2024/07/27 13:00
235,2024/07/27 13:00
238,2024/07/27 13:00
241,2024/07/27 13:00
249,2024/07/27 13:00
251,2024/07/27 13:00
256,2024/07/27 13:00
257,2024/07/27 13:00
264,2024/07/27 13:00
267,2024/07/27 13:00
268,2024/07/27 13:00
280,2024/07/27 13:00
296,2024/07/27 13:00
297,2024/07/27 13:00
313,2024/07/27 13:00
319,2024/07/27 13:00
325,2024/07/27 13:00
326,2024/07/27 13:00
332,2024/07/27 13:00
342,2024/07/27 13:00
367,2024/07/27 13:00
375,2024/07/27 13:00
393,2024/07/27 13:00
391,2024/07/27 13:00
356,2024/07/27 13:00
