ficha,fechaYHoraInicio
35,2024/07/29 09:00
55,2024/07/29 09:00
97,2024/07/29 09:00
2,2024/07/29 09:00
3,2024/07/29 09:00
10,2024/07/29 09:00
15,2024/07/29 09:00
23,2024/07/29 09:00
31,2024/07/29 09:00
39,2024/07/29 09:00
48,2024/07/29 09:00
49,2024/07/29 09:00
105,2024/07/29 09:00
106,2024/07/29 09:00
113,2024/07/29 09:00
122,2024/07/29 09:00
125,2024/07/29 09:00
137,2024/07/29 09:00
152,2024/07/29 09:00
159,2024/07/29 09:00
4,2024/07/29 09:00
7,2024/07/29 09:00
12,2024/07/29 09:00
18,2024/07/29 09:00
21,2024/07/29 09:00
25,2024/07/29 09:00
26,2024/07/29 09:00
41,2024/07/29 09:00
44,2024/07/29 09:00
50,2024/07/29 09:00
53,2024/07/29 09:00
57,2024/07/29 09:00
59,2024/07/29 09:00
62,2024/07/29 09:00
64,2024/07/29 09:00
69,2024/07/29 09:00
75,2024/07/29 09:00
77,2024/07/29 09:00
78,2024/07/29 09:00
79,2024/07/29 09:00
86,2024/07/29 09:00
91,2024/07/29 09:00
94,2024/07/29 09:00
99,2024/07/29 09:00
100,2024/07/29 09:00
102,2024/07/29 09:00
103,2024/07/29 09:00
107,2024/07/29 09:00
119,2024/07/29 09:00
120,2024/07/29 09:00
128,2024/07/29 09:00
134,2024/07/29 09:00
135,2024/07/29 09:00
136,2024/07/29 09:00
138,2024/07/29 09:00
144,2024/07/29 09:00
145,2024/07/29 09:00
150,2024/07/29 09:00
151,2024/07/29 09:00
155,2024/07/29 09:00
158,2024/07/29 09:00
161,2024/07/29 09:00
9,2024/07/29 09:00
11,2024/07/29 09:00
17,2024/07/29 09:00
19,2024/07/29 09:00
24,2024/07/29 09:00
28,2024/07/29 09:00
34,2024/07/29 09:00
37,2024/07/29 09:00
38,2024/07/29 09:00
40,2024/07/29 09:00
47,2024/07/29 09:00
51,2024/07/29 09:00
60,2024/07/29 09:00
68,2024/07/29 09:00
73,2024/07/29 09:00
87,2024/07/29 09:00
88,2024/07/29 09:00
123,2024/07/29 09:00
127,2024/07/29 09:00
148,2024/07/29 09:00
153,2024/07/29 09:00
154,2024/07/29 09:00
157,2024/07/29 09:00
160,2024/07/29 09:00
1,2024/07/29 09:00
20,2024/07/29 09:00
22,2024/07/29 09:00
29,2024/07/29 09:00
32,2024/07/29 09:00
36,2024/07/29 09:00
43,2024/07/29 09:00
52,2024/07/29 09:00
54,2024/07/29 09:00
56,2024/07/29 09:00
61,2024/07/29 09:00
89,2024/07/29 09:00
93,2024/07/29 09:00
95,2024/07/29 09:00
96,2024/07/29 09:00
101,2024/07/29 09:00
111,2024/07/29 09:00
124,2024/07/29 09:00
140,2024/07/29 09:00
141,2024/07/29 09:00
142,2024/07/29 09:00
143,2024/07/29 09:00
5,2024/07/29 09:00
6,2024/07/29 09:00
8,2024/07/29 09:00
13,2024/07/29 09:00
14,2024/07/29 09:00
33,2024/07/29 09:00
45,2024/07/29 09:00
58,2024/07/29 09:00
63,2024/07/29 09:00
65,2024/07/29 09:00
66,2024/07/29 09:00
67,2024/07/29 09:00
70,2024/07/29 09:00
71,2024/07/29 09:00
72,2024/07/29 09:00
74,2024/07/29 09:00
76,2024/07/29 09:00
85,2024/07/29 09:00
90,2024/07/29 09:00
92,2024/07/29 09:00
104,2024/07/29 09:00
108,2024/07/29 09:00
109,2024/07/29 09:00
110,2024/07/29 09:00
114,2024/07/29 09:00
115,2024/07/29 09:00
116,2024/07/29 09:00
118,2024/07/29 09:00
121,2024/07/29 09:00
130,2024/07/29 09:00
131,2024/07/29 09:00
139,2024/07/29 09:00
149,2024/07/29 09:00
156,2024/07/29 09:00
80,2024/07/29 09:00
