ficha,fechaYHoraInicio
240008,2024/07/31 08:00
240009,2024/07/31 08:00
240010,2024/07/31 08:00
240026,2024/07/31 08:00
240100,2024/07/31 08:00
240122,2024/07/31 08:00
240123,2024/07/31 08:00
240124,2024/07/31 08:00
240155,2024/07/31 08:00
240173,2024/07/31 08:00
240174,2024/07/31 08:00
240180,2024/07/31 08:00
240181,2024/07/31 08:00
240188,2024/07/31 08:00
240189,2024/07/31 08:00
240196,2024/07/31 08:00
240215,2024/07/31 08:00
240220,2024/07/31 08:00
240221,2024/07/31 08:00
240226,2024/07/31 08:00
240227,2024/07/31 08:00
240228,2024/07/31 08:00
240229,2024/07/31 08:00
240230,2024/07/31 08:00
240254,2024/07/31 08:00
240255,2024/07/31 08:00
240266,2024/07/31 08:00
240267,2024/07/31 08:00
240268,2024/07/31 08:00
240269,2024/07/31 08:00
240309,2024/07/31 08:00
240322,2024/07/31 08:00
240330,2024/07/31 08:00
240337,2024/07/31 08:00
240338,2024/07/31 08:00
240339,2024/07/31 08:00
010016,2024/07/31 08:00
010017,2024/07/31 08:00
010018,2024/07/31 08:00
010019,2024/07/31 08:00
010020,2024/07/31 08:00
010022,2024/07/31 08:00
010023,2024/07/31 08:00
240005,2024/07/31 09:00
240037,2024/07/31 09:00
240038,2024/07/31 09:00
240039,2024/07/31 09:00
240040,2024/07/31 09:00
240041,2024/07/31 09:00
240042,2024/07/31 09:00
240094,2024/07/31 09:00
240095,2024/07/31 09:00
240096,2024/07/31 09:00
240097,2024/07/31 09:00
240098,2024/07/31 09:00
240121,2024/07/31 09:00
240150,2024/07/31 09:00
240151,2024/07/31 09:00
240152,2024/07/31 09:00
240153,2024/07/31 09:00
240154,2024/07/31 09:00
240213,2024/07/31 09:00
240250,2024/07/31 09:00
240251,2024/07/31 09:00
240252,2024/07/31 09:00
240253,2024/07/31 09:00
240263,2024/07/31 09:00
240264,2024/07/31 09:00
240303,2024/07/31 09:00
240304,2024/07/31 09:00
240315,2024/07/31 09:00
240329,2024/07/31 09:00
240335,2024/07/31 09:00
240354,2024/07/31 09:00
240355,2024/07/31 09:00
240356,2024/07/31 09:00
240366,2024/07/31 09:00
240372,2024/07/31 09:00
240373,2024/07/31 09:00
040030,2024/07/31 09:00
040008,2024/07/31 09:00
040009,2024/07/31 09:00
240003,2024/07/31 10:00
240025,2024/07/31 10:00
240036,2024/07/31 10:00
240187,2024/07/31 10:00
240201,2024/07/31 10:00
240212,2024/07/31 10:00
240218,2024/07/31 10:00
240302,2024/07/31 10:00
240328,2024/07/31 10:00
240336,2024/07/31 10:00
240352,2024/07/31 10:00
240353,2024/07/31 10:00
240365,2024/07/31 10:00
030014,2024/07/31 10:00
240002,2024/07/31 11:00
240004,2024/07/31 11:00
240006,2024/07/31 11:00
240007,2024/07/31 11:00
240011,2024/07/31 11:00
240012,2024/07/31 11:00
240013,2024/07/31 11:00
240014,2024/07/31 11:00
240015,2024/07/31 11:00
240016,2024/07/31 11:00
240017,2024/07/31 11:00
240018,2024/07/31 11:00
240019,2024/07/31 11:00
240020,2024/07/31 11:00
240021,2024/07/31 11:00
240022,2024/07/31 11:00
240023,2024/07/31 11:00
240024,2024/07/31 11:00
240027,2024/07/31 11:00
240028,2024/07/31 11:00
240029,2024/07/31 11:00
240030,2024/07/31 11:00
240031,2024/07/31 11:00
240032,2024/07/31 11:00
240033,2024/07/31 11:00
240034,2024/07/31 11:00
240035,2024/07/31 11:00
240044,2024/07/31 11:00
240045,2024/07/31 11:00
240046,2024/07/31 11:00
240047,2024/07/31 11:00
240048,2024/07/31 11:00
240049,2024/07/31 11:00
240050,2024/07/31 11:00
240051,2024/07/31 11:00
240052,2024/07/31 11:00
240053,2024/07/31 11:00
240054,2024/07/31 11:00
240055,2024/07/31 11:00
240056,2024/07/31 11:00
240057,2024/07/31 11:00
240058,2024/07/31 11:00
240059,2024/07/31 11:00
240060,2024/07/31 11:00
240061,2024/07/31 11:00
240062,2024/07/31 11:00
240063,2024/07/31 11:00
240064,2024/07/31 11:00
240065,2024/07/31 11:00
240066,2024/07/31 11:00
240067,2024/07/31 11:00
240068,2024/07/31 11:00
240069,2024/07/31 11:00
240070,2024/07/31 11:00
240071,2024/07/31 11:00
240072,2024/07/31 11:00
240073,2024/07/31 11:00
240074,2024/07/31 11:00
240075,2024/07/31 11:00
240076,2024/07/31 11:00
240077,2024/07/31 11:00
240078,2024/07/31 11:00
240079,2024/07/31 11:00
240080,2024/07/31 11:00
240081,2024/07/31 11:00
240082,2024/07/31 11:00
240083,2024/07/31 11:00
240084,2024/07/31 11:00
240085,2024/07/31 11:00
240086,2024/07/31 11:00
240087,2024/07/31 11:00
240088,2024/07/31 11:00
240089,2024/07/31 11:00
240090,2024/07/31 11:00
240091,2024/07/31 11:00
240092,2024/07/31 11:00
240093,2024/07/31 11:00
240101,2024/07/31 11:00
240102,2024/07/31 11:00
240103,2024/07/31 11:00
240104,2024/07/31 11:00
240105,2024/07/31 11:00
240106,2024/07/31 11:00
240107,2024/07/31 11:00
240108,2024/07/31 11:00
240109,2024/07/31 11:00
240110,2024/07/31 11:00
240111,2024/07/31 11:00
240112,2024/07/31 11:00
240113,2024/07/31 11:00
240114,2024/07/31 11:00
240115,2024/07/31 11:00
240116,2024/07/31 11:00
240117,2024/07/31 11:00
240118,2024/07/31 11:00
240119,2024/07/31 11:00
240120,2024/07/31 11:00
240125,2024/07/31 11:00
240126,2024/07/31 11:00
240127,2024/07/31 11:00
240128,2024/07/31 11:00
240129,2024/07/31 11:00
240130,2024/07/31 11:00
240131,2024/07/31 11:00
240132,2024/07/31 11:00
240133,2024/07/31 11:00
240134,2024/07/31 11:00
240135,2024/07/31 11:00
240136,2024/07/31 11:00
240137,2024/07/31 11:00
240138,2024/07/31 11:00
240139,2024/07/31 11:00
240140,2024/07/31 11:00
240141,2024/07/31 11:00
240142,2024/07/31 11:00
240143,2024/07/31 11:00
240144,2024/07/31 11:00
240145,2024/07/31 11:00
240146,2024/07/31 11:00
240147,2024/07/31 11:00
240148,2024/07/31 11:00
240149,2024/07/31 11:00
240156,2024/07/31 11:00
240157,2024/07/31 11:00
240158,2024/07/31 11:00
240159,2024/07/31 11:00
240160,2024/07/31 11:00
240161,2024/07/31 11:00
240162,2024/07/31 11:00
240163,2024/07/31 11:00
240164,2024/07/31 11:00
240165,2024/07/31 11:00
240166,2024/07/31 11:00
240167,2024/07/31 11:00
240168,2024/07/31 11:00
240169,2024/07/31 11:00
240170,2024/07/31 11:00
240171,2024/07/31 11:00
240172,2024/07/31 11:00
240175,2024/07/31 11:00
240176,2024/07/31 11:00
240177,2024/07/31 11:00
240178,2024/07/31 11:00
240179,2024/07/31 11:00
240182,2024/07/31 11:00
240183,2024/07/31 11:00
240184,2024/07/31 11:00
240185,2024/07/31 11:00
240186,2024/07/31 11:00
240190,2024/07/31 11:00
240191,2024/07/31 11:00
240192,2024/07/31 11:00
240193,2024/07/31 11:00
240194,2024/07/31 11:00
240195,2024/07/31 11:00
240197,2024/07/31 11:00
240198,2024/07/31 11:00
240199,2024/07/31 11:00
240200,2024/07/31 11:00
240202,2024/07/31 11:00
240203,2024/07/31 11:00
240204,2024/07/31 11:00
240205,2024/07/31 11:00
240206,2024/07/31 11:00
240207,2024/07/31 11:00
240208,2024/07/31 11:00
240209,2024/07/31 11:00
240210,2024/07/31 11:00
240211,2024/07/31 11:00
240216,2024/07/31 11:00
240217,2024/07/31 11:00
240222,2024/07/31 11:00
240223,2024/07/31 11:00
240224,2024/07/31 11:00
240225,2024/07/31 11:00
240231,2024/07/31 11:00
240232,2024/07/31 11:00
240233,2024/07/31 11:00
240234,2024/07/31 11:00
240235,2024/07/31 11:00
240236,2024/07/31 11:00
240237,2024/07/31 11:00
240238,2024/07/31 11:00
240239,2024/07/31 11:00
240240,2024/07/31 11:00
240241,2024/07/31 11:00
240242,2024/07/31 11:00
240243,2024/07/31 11:00
240244,2024/07/31 11:00
240245,2024/07/31 11:00
240246,2024/07/31 11:00
240247,2024/07/31 11:00
240248,2024/07/31 11:00
240249,2024/07/31 11:00
240256,2024/07/31 11:00
240257,2024/07/31 11:00
240258,2024/07/31 11:00
240259,2024/07/31 11:00
240260,2024/07/31 11:00
240261,2024/07/31 11:00
