ficha,fechaYHoraInicio
2751,2024/09/04 09:00
2753,2024/09/04 09:00
2857,2024/09/04 09:00
2879,2024/09/04 09:00
2996,2024/09/04 09:00
3000,2024/09/04 09:00
3044,2024/09/04 09:00
3083,2024/09/04 09:00
3085,2024/09/04 09:00
3104,2024/09/04 09:00
3105,2024/09/04 09:00
3112,2024/09/04 09:00
3115,2024/09/04 09:00
3120,2024/09/04 09:00
3122,2024/09/04 09:00
3129,2024/09/04 09:00
3140,2024/09/04 09:00
3141,2024/09/04 09:00
3144,2024/09/04 09:00
3166,2024/09/04 09:00
3172,2024/09/04 09:00
3177,2024/09/04 09:00
3182,2024/09/04 09:00
3184,2024/09/04 09:00
3185,2024/09/04 09:00
3186,2024/09/04 09:00
3187,2024/09/04 09:00
3188,2024/09/04 09:00
3194,2024/09/04 09:00
3204,2024/09/04 09:00
3210,2024/09/04 09:00
3211,2024/09/04 09:00
3212,2024/09/04 09:00
3224,2024/09/04 09:00
3240,2024/09/04 09:00
3244,2024/09/04 09:00
3079,2024/09/04 09:00
