ficha,fechaYHoraInicio
080031,2024/09/18 09:00
080015,2024/09/18 09:00
080040,2024/09/18 09:00
080006,2024/09/18 09:00
080009,2024/09/18 09:00
080042,2024/09/18 09:00
080017,2024/09/18 09:00
080002,2024/09/18 09:00
080016,2024/09/18 09:00
080022,2024/09/18 09:00
080014,2024/09/18 09:00
080020,2024/09/18 09:00
080011,2024/09/18 09:00
080028,2024/09/18 09:00
080030,2024/09/18 09:00
080008,2024/09/18 09:00
080039,2024/09/18 09:00
080035,2024/09/18 09:00
080037,2024/09/18 09:00
080029,2024/09/18 09:00
080026,2024/09/18 09:00
080018,2024/09/18 09:00
080005,2024/09/18 09:00
080038,2024/09/18 09:00
080003,2024/09/18 09:00
080034,2024/09/18 09:00
080041,2024/09/18 09:00
080036,2024/09/18 09:00
080012,2024/09/18 09:00
080032,2024/09/18 09:00
080023,2024/09/18 09:00
080019,2024/09/18 09:00
080021,2024/09/18 09:00
080013,2024/09/18 09:00
080033,2024/09/18 09:00
080027,2024/09/18 09:00
080024,2024/09/18 09:00
080001,2024/09/18 09:00
130037,2024/09/18 09:00
130015,2024/09/18 09:00
130011,2024/09/18 09:00
130010,2024/09/18 09:00
130039,2024/09/18 09:00
130008,2024/09/18 09:00
130031,2024/09/18 09:00
130001,2024/09/18 09:00
130003,2024/09/18 09:00
130019,2024/09/18 09:00
130004,2024/09/18 09:00
130017,2024/09/18 09:00
130038,2024/09/18 09:00
130028,2024/09/18 09:00
130030,2024/09/18 09:00
130020,2024/09/18 09:00
130036,2024/09/18 09:00
130014,2024/09/18 09:00
130018,2024/09/18 09:00
130013,2024/09/18 09:00
130005,2024/09/18 09:00
130033,2024/09/18 09:00
130034,2024/09/18 09:00
130007,2024/09/18 09:00
130002,2024/09/18 09:00
130035,2024/09/18 09:00
130021,2024/09/18 09:00
130009,2024/09/18 09:00
130029,2024/09/18 09:00
130022,2024/09/18 09:00
130023,2024/09/18 09:00
130016,2024/09/18 09:00
130040,2024/09/18 09:00
130026,2024/09/18 09:00
130012,2024/09/18 09:00
130006,2024/09/18 09:00
130027,2024/09/18 09:00
130024,2024/09/18 09:00
130032,2024/09/18 09:00
130025,2024/09/18 09:00
100031,2024/09/18 09:00
100043,2024/09/18 09:00
100030,2024/09/18 09:00
100003,2024/09/18 09:00
100070,2024/09/18 09:00
100048,2024/09/18 09:00
100023,2024/09/18 09:00
100044,2024/09/18 09:00
100028,2024/09/18 09:00
100012,2024/09/18 09:00
100056,2024/09/18 09:00
100052,2024/09/18 09:00
100022,2024/09/18 09:00
100040,2024/09/18 09:00
100055,2024/09/18 09:00
100065,2024/09/18 09:00
100046,2024/09/18 09:00
100026,2024/09/18 09:00
100038,2024/09/18 09:00
100042,2024/09/18 09:00
100045,2024/09/18 09:00
100062,2024/09/18 09:00
100061,2024/09/18 09:00
100050,2024/09/18 09:00
100011,2024/09/18 09:00
100006,2024/09/18 09:00
100018,2024/09/18 09:00
100019,2024/09/18 09:00
100049,2024/09/18 09:00
100053,2024/09/18 09:00
100066,2024/09/18 09:00
100033,2024/09/18 09:00
100039,2024/09/18 09:00
100032,2024/09/18 09:00
100041,2024/09/18 09:00
100027,2024/09/18 09:00
100021,2024/09/18 09:00
100057,2024/09/18 09:00
100047,2024/09/18 09:00
100037,2024/09/18 09:00
100035,2024/09/18 09:00
100008,2024/09/18 09:00
100051,2024/09/18 09:00
100024,2024/09/18 09:00
100017,2024/09/18 09:00
100036,2024/09/18 09:00
100068,2024/09/18 09:00
100009,2024/09/18 09:00
100059,2024/09/18 09:00
100058,2024/09/18 09:00
100060,2024/09/18 09:00
100005,2024/09/18 09:00
100067,2024/09/18 09:00
100034,2024/09/18 09:00
100002,2024/09/18 09:00
100015,2024/09/18 09:00
100025,2024/09/18 09:00
100010,2024/09/18 09:00
100064,2024/09/18 09:00
100013,2024/09/18 09:00
100069,2024/09/18 09:00
100063,2024/09/18 09:00
100054,2024/09/18 09:00
100007,2024/09/18 09:00
100014,2024/09/18 09:00
100029,2024/09/18 09:00
100020,2024/09/18 09:00
S130037,2024/09/18 09:00
S130015,2024/09/18 09:00
S130011,2024/09/18 09:00
S130010,2024/09/18 09:00
S130039,2024/09/18 09:00
S130008,2024/09/18 09:00
S130031,2024/09/18 09:00
S130001,2024/09/18 09:00
S130003,2024/09/18 09:00
S130019,2024/09/18 09:00
S130004,2024/09/18 09:00
S130017,2024/09/18 09:00
S130038,2024/09/18 09:00
S130028,2024/09/18 09:00
S130030,2024/09/18 09:00
S130020,2024/09/18 09:00
S130036,2024/09/18 09:00
S130014,2024/09/18 09:00
S130018,2024/09/18 09:00
S130013,2024/09/18 09:00
S130005,2024/09/18 09:00
S130033,2024/09/18 09:00
S130034,2024/09/18 09:00
S130007,2024/09/18 09:00
S130002,2024/09/18 09:00
S130035,2024/09/18 09:00
S130021,2024/09/18 09:00
S130009,2024/09/18 09:00
S130029,2024/09/18 09:00
S130022,2024/09/18 09:00
S130023,2024/09/18 09:00
S130016,2024/09/18 09:00
S130040,2024/09/18 09:00
S130026,2024/09/18 09:00
S130012,2024/09/18 09:00
S130006,2024/09/18 09:00
S130027,2024/09/18 09:00
S130024,2024/09/18 09:00
S130032,2024/09/18 09:00
S130025,2024/09/18 09:00
S100031,2024/09/18 09:00
S100043,2024/09/18 09:00
S100030,2024/09/18 09:00
S100003,2024/09/18 09:00
S100070,2024/09/18 09:00
S100048,2024/09/18 09:00
S100023,2024/09/18 09:00
S100044,2024/09/18 09:00
S100028,2024/09/18 09:00
S100012,2024/09/18 09:00
S100056,2024/09/18 09:00
S100052,2024/09/18 09:00
S100022,2024/09/18 09:00
S100040,2024/09/18 09:00
S100055,2024/09/18 09:00
S100065,2024/09/18 09:00
S100046,2024/09/18 09:00
S100026,2024/09/18 09:00
S100038,2024/09/18 09:00
S100042,2024/09/18 09:00
S100045,2024/09/18 09:00
S100062,2024/09/18 09:00
S100061,2024/09/18 09:00
S100050,2024/09/18 09:00
S100011,2024/09/18 09:00
S100006,2024/09/18 09:00
S100018,2024/09/18 09:00
S100019,2024/09/18 09:00
S100049,2024/09/18 09:00
S100053,2024/09/18 09:00
S100066,2024/09/18 09:00
S100033,2024/09/18 09:00
S100039,2024/09/18 09:00
S100032,2024/09/18 09:00
S100041,2024/09/18 09:00
S100027,2024/09/18 09:00
S100021,2024/09/18 09:00
S100057,2024/09/18 09:00
S100047,2024/09/18 09:00
S100037,2024/09/18 09:00
S100035,2024/09/18 09:00
S100008,2024/09/18 09:00
S100051,2024/09/18 09:00
S100024,2024/09/18 09:00
S100017,2024/09/18 09:00
S100036,2024/09/18 09:00
S100068,2024/09/18 09:00
S100009,2024/09/18 09:00
S100059,2024/09/18 09:00
S100058,2024/09/18 09:00
S100060,2024/09/18 09:00
S100005,2024/09/18 09:00
S100067,2024/09/18 09:00
S100034,2024/09/18 09:00
S100002,2024/09/18 09:00
S100015,2024/09/18 09:00
S100025,2024/09/18 09:00
S100010,2024/09/18 09:00
S100064,2024/09/18 09:00
S100013,2024/09/18 09:00
S100069,2024/09/18 09:00
S100063,2024/09/18 09:00
S100054,2024/09/18 09:00
S100007,2024/09/18 09:00
S100014,2024/09/18 09:00
S100029,2024/09/18 09:00
S100020,2024/09/18 09:00
030051,2024/09/18 09:00
030058,2024/09/18 09:00
030046,2024/09/18 09:00
030010,2024/09/18 09:00
030020,2024/09/18 09:00
030036,2024/09/18 09:00
030076,2024/09/18 09:00
030002,2024/09/18 09:00
030026,2024/09/18 09:00
030005,2024/09/18 09:00
030054,2024/09/18 09:00
030008,2024/09/18 09:00
030032,2024/09/18 09:00
030040,2024/09/18 09:00
030015,2024/09/18 09:00
030066,2024/09/18 09:00
030025,2024/09/18 09:00
030042,2024/09/18 09:00
030034,2024/09/18 09:00
030024,2024/09/18 09:00
030072,2024/09/18 09:00
030009,2024/09/18 09:00
030055,2024/09/18 09:00
030029,2024/09/18 09:00
030067,2024/09/18 09:00
030033,2024/09/18 09:00
030037,2024/09/18 09:00
030038,2024/09/18 09:00
030069,2024/09/18 09:00
030060,2024/09/18 09:00
030049,2024/09/18 09:00
030022,2024/09/18 09:00
030062,2024/09/18 09:00
030013,2024/09/18 09:00
030057,2024/09/18 09:00
030014,2024/09/18 09:00
030061,2024/09/18 09:00
030019,2024/09/18 09:00
030070,2024/09/18 09:00
030041,2024/09/18 09:00
030021,2024/09/18 09:00
030082,2024/09/18 09:00
030056,2024/09/18 09:00
030027,2024/09/18 09:00
030068,2024/09/18 09:00
030023,2024/09/18 09:00
030039,2024/09/18 09:00
030011,2024/09/18 09:00
030075,2024/09/18 09:00
030044,2024/09/18 09:00
