ficha,fechaYHoraInicio
I050,2024/09/25 10:00
I051,2024/09/25 10:00
I052,2024/09/25 10:00
I053,2024/09/25 10:00
I055,2024/09/25 10:00
I056,2024/09/25 10:00
I057,2024/09/25 10:00
I058,2024/09/25 10:00
I059,2024/09/25 10:00
I060,2024/09/25 10:00
I061,2024/09/25 10:00
I062,2024/09/25 10:00
I063,2024/09/25 10:00
I064,2024/09/25 10:00
I065,2024/09/25 10:00
I067,2024/09/25 10:00
I069,2024/09/25 10:00
I071,2024/09/25 10:00
I072,2024/09/25 10:00
I073,2024/09/25 10:00
I074,2024/09/25 10:00
I0500,2024/09/25 10:00
