ficha,fechaYHoraInicio
H110289,2024/09/25 09:00
H110292,2024/09/25 09:00
A140553,2024/09/25 09:00
A140545,2024/09/25 09:00
A140558,2024/09/25 09:00
D900328,2024/09/25 09:00
D900333,2024/09/25 09:00
D900332,2024/09/25 09:00
D900335,2024/09/25 09:00
G100806,2024/09/25 09:00
G100810,2024/09/25 09:00
G100812,2024/09/25 09:00
G100817,2024/09/25 09:00
G100818,2024/09/25 09:00
G100813,2024/09/25 09:00
G100822,2024/09/25 09:00
G100823,2024/09/25 09:00
G100819,2024/09/25 09:00
G100826,2024/09/25 09:00
G100829,2024/09/25 09:00
G100811,2024/09/25 09:00
